strategy,scenario_id,no_drones,drone_capacity,no_customers,no_clusters,Total Distribution Time,Drones Travel Distance,Trucks Travel Distance,Trucks In-Cluster time,Drones Active Time,Drone Utilization,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,median_span_2,median_span_3,median_span_4,median_nodropoffs_2,median_nodropoffs_3,median_nodropoffs_4,The Number of Battery Swaps,Total Package Delivery Time,Total Customer Delivery Time,Average Customer Delivery Time,Average Package Delivery Time,Median Package Delivery Time,Median Customer Delivery Time,no_of_customers_with_1_package,no_of_customers_with_2_package,no_of_customers_with_3_package,no_of_customers_with_4_package
farthest_package_first_MPA,0,2,1,50,2,5322,66559.2,2887.83,7158,13844,0.97,57.333333333333336,229.0,286.0,2.0,3.0,4.0,57.333333333333336,229.0,286.0,2.0,3.0,4.0,2,146127.0,105376.0,2107.52,2435.45,2054.5,1797.5,44,3,2,1
farthest_package_first_MPA,4,2,1,50,2,3740,57761.83,2220.31,6431,12631,0.98,116.6,154.0,-1.0,2.0,3.0,-1.0,116.6,154.0,-1.0,2.0,3.0,-1.0,0,105129.0,85011.0,1700.22,1844.3684210526317,1881.0,1705.0,44,5,1,0
farthest_package_first_MPA,5,3,1,50,2,2672,66147.85,2333.65,4862,13828,0.95,91.75,138.0,-1.0,2.0,3.0,-1.0,91.75,138.0,-1.0,2.0,3.0,-1.0,0,82994.0,62139.0,1242.78,1383.2333333333331,1441.0,1296.0,43,4,3,0
farthest_package_first_MPA,6,4,1,50,2,1878,61348.09,2728.66,3323,12739,0.96,70.0,71.0,-1.0,2.0,3.0,-1.0,70.0,71.0,-1.0,2.0,3.0,-1.0,0,56119.0,48183.0,963.66,1020.3454545454546,1083.0,1035.0,47,1,2,0
farthest_package_first_MPA,6,1,1,100,2,15229,132483.92,2018.28,27940,27637,0.99,247.8571428571429,481.3333333333333,649.5,2.0,3.0,4.0,247.8571428571429,481.3333333333333,649.5,2.0,3.0,4.0,6,909170.0,670678.0,6706.78,7640.084033613445,7691.0,6710.0,88,7,3,2
farthest_package_first_MPA,9,2,1,100,2,9368,137891.77,2706.14,14389,28369,0.99,82.4,281.5,220.0,2.0,3.0,4.0,82.4,281.5,220.0,2.0,3.0,4.0,6,516351.0,374332.0,3743.32,4267.363636363636,4052.0,3424.0,85,10,4,1
farthest_package_first_MPA,8,4,1,100,2,4472,143527.63,2866.52,7559,29514,0.98,65.625,158.0,200.0,2.0,3.0,4.0,65.625,158.0,200.0,2.0,3.0,4.0,4,272982.0,185329.0,1853.29,2166.5238095238096,2111.5,1883.0,84,8,6,2
farthest_package_first_MPA,0,2,1,100,4,6237,85942.71,6194.0,11520,22346,0.97,120.71428571428572,179.0,352.5,2.0,3.0,4.0,120.71428571428572,179.0,352.5,2.0,3.0,4.0,4,361640.0,298552.0,2985.52,3144.695652173913,3017.0,2710.0,90,7,1,2
farthest_package_first_MPA,5,2,1,100,4,7036,82381.31,6706.67,11180,21751,0.97,97.0,235.0,268.5,2.0,3.0,4.0,97.0,235.0,268.5,2.0,3.0,4.0,2,362480.0,307592.0,3075.92,3207.787610619469,3045.0,2847.5,92,5,1,2
farthest_package_first_MPA,6,3,1,100,4,4935,84033.09,5703.16,7850,22626,0.96,88.71428571428571,136.66666666666666,178.0,2.0,3.0,4.0,88.71428571428571,136.66666666666666,178.0,2.0,3.0,4.0,0,271634.0,207615.0,2076.15,2282.638655462185,2323.0,2114.0,88,7,3,2
farthest_package_first_MPA,6,4,1,100,4,3875,84033.09,5703.16,6003,22626,0.94,65.85714285714286,72.66666666666667,178.0,2.0,3.0,4.0,65.85714285714286,72.66666666666667,178.0,2.0,3.0,4.0,0,212093.0,162699.0,1626.99,1782.2941176470588,1835.0,1735.0,88,7,3,2
farthest_package_first_MPA,3,1,1,200,2,30892,278368.8,2401.87,59234,58555,0.99,222.23076923076923,489.4,781.0,2.0,3.0,4.0,222.23076923076923,489.4,781.0,2.0,3.0,4.0,14,4051703.0,2694723.0,13473.615,15889.03137254902,16036.0,13246.5,161,26,10,3
farthest_package_first_MPA,8,2,1,200,2,16497,300920.86,2427.32,30619,60343,0.99,120.83333333333331,269.85714285714283,363.1666666666667,2.0,3.0,4.0,120.83333333333331,269.85714285714283,363.1666666666667,2.0,3.0,4.0,14,2056130.0,1400696.0,7003.48,8224.52,8339.5,7038.5,169,18,7,6
farthest_package_first_MPA,3,4,1,200,2,7922,278368.8,2401.87,14998,58555,0.98,44.34615384615385,142.7,115.66666666666669,2.0,3.0,4.0,44.34615384615385,142.7,115.66666666666669,2.0,3.0,4.0,8,1035660.0,691445.0,3457.225,4061.4117647058824,4100.0,3390.5,161,26,10,3
farthest_package_first_MPA,6,1,1,200,4,24802,181470.89,7820.03,47210,46724,0.99,206.61111111111111,363.1428571428572,610.5,2.0,3.0,4.0,206.61111111111111,363.1428571428572,610.5,2.0,3.0,4.0,8,2949198.0,2329432.0,11647.16,12391.588235294115,12102.0,10652.0,173,18,7,2
farthest_package_first_MPA,7,2,1,200,4,12870,187512.64,5985.28,24540,48207,0.98,112.0952380952381,216.875,292.6666666666667,2.0,3.0,4.0,112.0952380952381,216.875,292.6666666666667,2.0,3.0,4.0,8,1620011.0,1222970.0,6114.85,6585.410569105691,6721.5,6495.0,168,21,8,3
farthest_package_first_MPA,2,4,1,200,4,6517,174789.3,6116.63,11621,44746,0.96,69.22222222222223,100.5,188.0,2.0,3.0,4.0,69.22222222222223,100.5,188.0,2.0,3.0,4.0,8,726281.0,602730.0,3013.65,3185.4429824561403,3174.5,3020.5,178,18,2,2
farthest_package_first_MPA,3,1,1,200,8,22857,128543.87,11289.69,43767,43316,0.99,165.26923076923077,336.0,618.0,2.0,3.0,4.0,165.26923076923077,336.0,618.0,2.0,3.0,4.0,6,2927782.0,2170892.0,10854.46,11481.498039215689,11382.0,10591.5,161,26,10,3
farthest_package_first_MPA,7,2,1,200,8,14085,142946.6,10888.99,22499,43699,0.97,114.04761904761904,191.875,316.3333333333333,2.0,3.0,4.0,114.04761904761904,191.875,316.3333333333333,2.0,3.0,4.0,6,1531349.0,1154848.0,5774.24,6224.995934959349,6176.0,5965.5,168,21,8,3
farthest_package_first_MPA,3,4,1,200,8,6404,128543.87,11289.69,11356,43316,0.95,40.69230769230769,79.8,50.333333333333336,2.0,3.0,4.0,40.69230769230769,79.8,50.333333333333336,2.0,3.0,4.0,0,832328.0,619909.0,3099.545,3264.0313725490196,3342.0,2970.0,161,26,10,3
farthest_package_first_MPA,5,1,1,400,2,65172,645031.8,2264.09,129638,128117,0.99,263.6363636363636,498.6363636363636,756.6923076923077,2.0,3.0,4.0,263.6363636363636,498.6363636363636,756.6923076923077,2.0,3.0,4.0,33,17970368.0,11208654.0,28021.635,34099.37001897533,33883.0,27306.0,321,44,22,13
farthest_package_first_MPA,9,2,1,400,2,33590,595751.69,2426.64,60031,118565,0.99,138.12820512820514,223.41176470588235,286.0,2.0,3.0,4.0,138.12820512820514,223.41176470588235,286.0,2.0,3.0,4.0,28,8024400.0,5665152.0,14162.88,16443.44262295082,16650.0,14249.0,339,39,17,5
farthest_package_first_MPA,6,4,1,400,2,15208,582734.06,2291.55,29923,117911,0.99,61.8235294117647,88.95238095238095,204.83333333333337,2.0,3.0,4.0,61.8235294117647,88.95238095238095,204.83333333333337,2.0,3.0,4.0,24,4042345.0,2821270.0,7053.175,8182.884615384615,8453.0,7175.0,339,34,21,6
farthest_package_first_MPA,7,1,1,400,4,55371,403757.64,5672.14,100417,99289,0.99,204.6904761904762,485.0,617.5,2.0,3.0,4.0,204.6904761904762,485.0,617.5,2.0,3.0,4.0,21,12635332.0,9601709.0,24004.2725,25786.391836734692,25222.0,24135.0,340,42,6,12
farthest_package_first_MPA,1,3,1,400,4,20497,382391.53,8150.94,33549,98987,0.98,63.921052631578945,127.57692307692308,202.16666666666663,2.0,3.0,4.0,63.921052631578945,127.57692307692308,202.16666666666663,2.0,3.0,4.0,18,4659207.0,3389988.0,8474.97,9171.667322834646,8828.5,8241.0,330,38,26,6
farthest_package_first_MPA,4,4,1,400,4,12635,366089.74,5900.51,24133,94815,0.98,70.44444444444444,75.13636363636364,183.2,2.0,3.0,4.0,70.44444444444444,75.13636363636364,183.2,2.0,3.0,4.0,16,3111894.0,2332764.0,5831.91,6403.074074074074,6349.0,5815.0,346,27,22,5
farthest_package_first_MPA,1,1,1,400,8,48258,265400.82,11955.5,88193,87279,0.99,173.89473684210526,339.6923076923077,525.5,2.0,3.0,4.0,173.89473684210526,339.6923076923077,525.5,2.0,3.0,4.0,13,11607347.0,8811757.0,22029.3925,22849.108267716536,22546.0,21894.0,330,38,26,6
farthest_package_first_MPA,8,2,1,400,8,24188,269532.86,13011.42,44205,86886,0.98,92.6829268292683,174.75,255.66666666666663,2.0,3.0,4.0,92.6829268292683,174.75,255.66666666666663,2.0,3.0,4.0,12,5800433.0,4465024.0,11162.56,11577.710578842316,11427.0,10910.0,335,41,12,12
