strategy,scenario_id,no_drones,drone_capacity,no_customers,no_clusters,Total Distribution Time,Drones Travel Distance,Trucks Travel Distance,Trucks In-Cluster time,Drones Active Time,Drone Utilization,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,median_span_2,median_span_3,median_span_4,median_nodropoffs_2,median_nodropoffs_3,median_nodropoffs_4,The Number of Battery Swaps,Total Package Delivery Time,Total Customer Delivery Time,Average Customer Delivery Time,Average Package Delivery Time,Median Package Delivery Time,Median Customer Delivery Time,no_of_customers_with_1_package,no_of_customers_with_2_package,no_of_customers_with_3_package,no_of_customers_with_4_package
farthest_package_first_MPA,0,2,1,50,2,5326,66559.2,2887.83,7126,13844,0.97,150.33333333333334,229.5,330.0,2.0,3.0,4.0,150.33333333333334,229.5,330.0,2.0,3.0,4.0,2,151291.0,120655.0,2413.1,2521.516666666667,2119.0,2068.0,44,3,2,1
farthest_package_first_MPA,9,2,1,50,2,4574,79557.3,2577.22,8026,15797,0.98,235.0,260.75,270.5,2.0,3.0,4.0,235.0,260.75,270.5,2.0,3.0,4.0,2,155683.0,127094.0,2541.88,2395.123076923077,2498.0,2505.5,43,1,4,2
farthest_package_first_MPA,9,4,1,50,2,2344,79557.3,2577.22,4063,15797,0.97,4.0,103.75,105.5,2.0,3.0,4.0,4.0,103.75,105.5,2.0,3.0,4.0,0,82117.0,66764.0,1335.28,1263.3384615384616,1368.0,1372.5,43,1,4,2
farthest_package_first_MPA,5,1,1,100,2,15093,134895.0,2526.11,27377,27080,0.99,251.2,352.0,657.0,2.0,3.0,4.0,251.2,352.0,657.0,2.0,3.0,4.0,6,891470.0,775941.0,7759.41,7889.115044247787,8207.0,8182.5,92,5,1,2
farthest_package_first_MPA,4,2,1,100,2,7936,142786.79,2228.1,14061,27817,0.99,144.0,239.66666666666663,-1.0,2.0,3.0,-1.0,144.0,239.66666666666663,-1.0,2.0,3.0,-1.0,5,461342.0,409262.0,4092.62,4119.125,4267.0,4218.5,91,6,3,0
farthest_package_first_MPA,1,3,1,100,2,5419,132592.72,2587.4,9462,27861,0.98,45.5,203.0,198.0,2.0,3.0,4.0,45.5,203.0,198.0,2.0,3.0,4.0,3,335539.0,266772.0,2667.72,2773.0495867768595,2814.0,2800.5,88,6,3,3
farthest_package_first_MPA,2,4,1,100,2,4356,128152.43,2557.6,6860,27036,0.99,2.3333333333333335,144.8,216.0,2.0,3.0,4.0,2.3333333333333335,144.8,216.0,2.0,3.0,4.0,4,257805.0,224852.0,2248.52,2166.4285714285716,2089.0,2144.0,88,6,5,1
farthest_package_first_MPA,1,2,1,100,4,6372,82971.12,8072.41,11719,22777,0.97,61.333333333333336,184.66666666666663,284.6666666666667,2.0,3.0,4.0,61.333333333333336,184.66666666666663,284.6666666666667,2.0,3.0,4.0,4,401617.0,336980.0,3369.8,3319.1487603305786,3277.0,3405.0,88,6,3,3
farthest_package_first_MPA,4,3,1,100,4,5077,88311.79,6597.52,7591,22276,0.98,78.66666666666667,194.33333333333337,-1.0,2.0,3.0,-1.0,78.66666666666667,194.33333333333337,-1.0,2.0,3.0,-1.0,0,260440.0,224424.0,2244.24,2325.3571428571427,2254.5,2213.0,91,6,3,0
farthest_package_first_MPA,0,2,1,200,2,15492,269224.66,2087.14,28108,55496,0.99,90.42857142857144,224.1428571428571,428.0,2.0,3.0,4.0,90.42857142857144,224.1428571428571,428.0,2.0,3.0,4.0,12,1908500.0,1624652.0,8123.26,8052.742616033755,8370.0,8208.0,176,14,7,3
farthest_package_first_MPA,3,2,1,200,2,15568,278368.8,2401.87,29656,58555,0.99,113.23076923076924,243.2,510.3333333333333,2.0,3.0,4.0,113.23076923076924,243.2,510.3333333333333,2.0,3.0,4.0,12,2155370.0,1706311.0,8531.555,8452.43137254902,8857.0,9148.5,161,26,10,3
farthest_package_first_MPA,5,3,1,200,2,10039,291487.57,2232.8,19584,58118,0.99,104.64285714285714,202.42857142857144,250.0,2.0,3.0,4.0,104.64285714285714,202.42857142857144,250.0,2.0,3.0,4.0,12,1337261.0,1104390.0,5521.95,5571.920833333334,5814.5,5698.5,175,14,7,4
farthest_package_first_MPA,6,4,1,200,2,7556,257971.15,2220.32,13824,54526,0.99,68.16666666666667,175.85714285714286,135.0,2.0,3.0,4.0,68.16666666666667,175.85714285714286,135.0,2.0,3.0,4.0,8,969273.0,793893.0,3969.465,4072.575630252101,4184.5,4178.0,173,18,7,2
farthest_package_first_MPA,7,1,1,200,4,25127,187512.64,5985.28,48701,48207,0.99,197.33333333333337,424.25,623.0,2.0,3.0,4.0,197.33333333333337,424.25,623.0,2.0,3.0,4.0,8,3233179.0,2633838.0,13169.19,13143.00406504065,13070.5,12955.0,168,21,8,3
farthest_package_first_MPA,9,2,1,200,4,12940,172446.34,5903.12,22622,44557,0.98,122.33333333333331,194.4,176.0,2.0,3.0,4.0,122.33333333333331,194.4,176.0,2.0,3.0,4.0,6,1417940.0,1246867.0,6234.335,6219.035087719299,6251.0,6251.0,181,12,5,2
farthest_package_first_MPA,4,4,1,200,4,7457,188917.18,5757.74,12431,48287,0.97,44.57142857142857,5.0,154.125,2.0,3.0,4.0,44.57142857142857,5.0,154.125,2.0,3.0,4.0,8,858727.0,714149.0,3570.745,3490.7601626016262,3442.0,3474.0,174,14,4,8
farthest_package_first_MPA,8,1,1,200,8,24243,131380.36,10565.4,43523,43077,0.99,179.83333333333334,326.85714285714283,492.0,2.0,3.0,4.0,179.83333333333334,326.85714285714283,492.0,2.0,3.0,4.0,6,2836128.0,2362189.0,11810.945,11344.512,11010.5,11888.0,169,18,7,6
farthest_package_first_MPA,2,3,1,200,8,7525,114722.79,11081.09,13358,38739,0.97,27.833333333333332,138.0,160.0,2.0,3.0,4.0,27.833333333333332,138.0,160.0,2.0,3.0,4.0,3,851055.0,751421.0,3757.105,3732.697368421053,3673.5,3772.5,178,18,2,2
farthest_package_first_MPA,9,3,1,200,8,7950,110768.85,12041.79,13292,38364,0.96,72.75,144.2,165.5,2.0,3.0,4.0,72.75,144.2,165.5,2.0,3.0,4.0,3,895668.0,783213.0,3916.065,3928.368421052632,3862.0,3851.0,181,12,5,2
farthest_package_first_MPA,2,1,1,400,2,58934,561281.04,2118.55,113926,112584,0.99,243.6190476190476,436.6,822.0,2.0,3.0,4.0,243.6190476190476,436.6,822.0,2.0,3.0,4.0,29,15045665.0,12742611.0,31856.5275,32148.856837606836,33782.5,32716.5,346,42,10,2
farthest_package_first_MPA,4,2,1,400,2,33040,558527.08,2462.24,57844,114352,0.99,92.25925925925924,243.22727272727272,372.0,2.0,3.0,4.0,92.25925925925924,243.22727272727272,372.0,2.0,3.0,4.0,28,8104172.0,6756872.0,16892.18,16675.251028806586,17074.5,17285.5,346,27,22,5
farthest_package_first_MPA,6,3,1,400,2,20176,582734.06,2291.55,39824,117911,0.99,75.5,147.33333333333334,263.8333333333333,2.0,3.0,4.0,75.5,147.33333333333334,263.8333333333333,2.0,3.0,4.0,30,5606348.0,4484538.0,11211.345,11348.882591093115,11955.0,11683.0,339,34,21,6
farthest_package_first_MPA,9,4,1,400,2,16940,595751.69,2426.64,30116,118565,0.98,61.8974358974359,97.11764705882354,134.4,2.0,3.0,4.0,61.8974358974359,97.11764705882354,134.4,2.0,3.0,4.0,28,4217616.0,3411304.0,8528.26,8642.655737704918,8931.0,8816.0,339,39,17,5
farthest_package_first_MPA,1,2,1,400,4,30423,382391.53,8150.94,50159,98987,0.99,89.60526315789474,186.0,334.3333333333333,2.0,3.0,4.0,89.60526315789474,186.0,334.3333333333333,2.0,3.0,4.0,18,7007557.0,5470447.0,13676.1175,13794.403543307086,13305.5,13391.5,330,38,26,6
farthest_package_first_MPA,4,2,1,400,4,24822,366089.74,5900.51,48028,94815,0.99,87.29629629629629,197.86363636363637,358.8,2.0,3.0,4.0,87.29629629629629,197.86363636363637,358.8,2.0,3.0,4.0,16,6172125.0,4956985.0,12392.4625,12699.845679012344,12315.0,11659.0,346,27,22,5
farthest_package_first_MPA,5,3,1,400,4,18949,402298.48,6350.12,34976,103319,0.98,66.77272727272727,119.04545454545456,192.46153846153845,2.0,3.0,4.0,66.77272727272727,119.04545454545456,192.46153846153845,2.0,3.0,4.0,18,4947676.0,3662322.0,9155.805,9388.379506641366,9075.0,8831.5,321,44,22,13
farthest_package_first_MPA,9,4,1,400,4,13811,377165.83,6325.66,24399,96035,0.98,52.743589743589745,142.76470588235293,162.0,2.0,3.0,4.0,52.743589743589745,142.76470588235293,162.0,2.0,3.0,4.0,16,3220900.0,2622321.0,6555.8025,6600.204918032787,6402.0,6395.0,339,39,17,5
farthest_package_first_MPA,1,2,1,400,8,24618,265400.82,11955.5,44355,87279,0.98,68.97368421052632,170.65384615384616,315.6666666666667,2.0,3.0,4.0,68.97368421052632,170.65384615384616,315.6666666666667,2.0,3.0,4.0,12,5976509.0,4720321.0,11800.8025,11764.781496062991,11570.0,11570.0,330,38,26,6
farthest_package_first_MPA,3,2,1,400,8,24446,267016.32,12058.14,43947,86606,0.99,65.04651162790698,178.1764705882353,213.25,2.0,3.0,4.0,65.04651162790698,178.1764705882353,213.25,2.0,3.0,4.0,12,5823714.0,4677077.0,11692.6925,11624.179640718565,11610.0,11579.0,332,43,17,8
farthest_package_first_MPA,5,3,1,400,8,16744,278838.69,10855.18,30924,90917,0.98,33.54545454545455,112.86363636363636,161.07692307692307,2.0,3.0,4.0,33.54545454545455,112.86363636363636,161.07692307692307,2.0,3.0,4.0,12,4354942.0,3380848.0,8452.12,8263.64705882353,8241.0,8817.5,321,44,22,13
farthest_package_first_MPA,8,4,1,400,8,12559,269532.86,13011.42,22308,86886,0.97,42.36585365853659,85.66666666666667,47.416666666666664,2.0,3.0,4.0,42.36585365853659,85.66666666666667,47.416666666666664,2.0,3.0,4.0,8,3051270.0,2446289.0,6115.7225,6090.359281437126,5984.0,6039.5,335,41,12,12
farthest_package_first_MPA,0,2,1,400,16,23251,187623.49,25283.24,40886,79919,0.98,99.46511627906976,161.33333333333334,201.8181818181818,2.0,3.0,4.0,99.46511627906976,161.33333333333334,201.8181818181818,2.0,3.0,4.0,8,5739546.0,4545604.0,11364.01,11210.05078125,11292.0,11447.0,328,43,18,11
farthest_package_first_MPA,4,2,1,400,16,21288,181639.46,21949.04,39032,76216,0.98,75.55555555555556,160.27272727272728,268.2,2.0,3.0,4.0,75.55555555555556,160.27272727272728,268.2,2.0,3.0,4.0,8,5139161.0,4284826.0,10712.065,10574.40534979424,10481.0,10844.5,346,27,22,5
farthest_package_first_MPA,7,3,1,400,16,15821,180158.97,25281.92,26366,76497,0.97,62.357142857142854,79.66666666666667,163.41666666666666,2.0,3.0,4.0,62.357142857142854,79.66666666666667,163.41666666666666,2.0,3.0,4.0,6,3693222.0,3028055.0,7570.1375,7537.187755102041,7464.0,7392.5,340,42,6,12
farthest_package_first_MPA,1,1,2,50,2,6059,43300.62,2512.34,11160,11061,0.99,0.0,210.0,213.33333333333337,1.0,2.0,2.0,0.0,210.0,213.33333333333337,1.0,2.0,2.0,2,224827.0,154298.0,3085.96,3211.8142857142857,3421.0,3119.5,39,5,3,3
farthest_package_first_MPA,3,1,2,50,2,5946,45514.9,2664.72,11483,11385,0.99,63.6,287.75,218.0,1.4,2.0,2.0,63.6,287.75,218.0,1.4,2.0,2.0,2,208032.0,164925.0,3298.5,3152.0,3230.5,3450.5,40,5,4,1
farthest_package_first_MPA,8,1,2,50,2,6663,41263.31,2361.6,10709,10642,0.99,0.0,207.0,240.0,1.0,2.0,2.0,0.0,207.0,240.0,1.0,2.0,2.0,1,213146.0,152419.0,3048.38,3279.1692307692306,3211.0,2957.0,41,5,2,2
farthest_package_first_MPA,4,2,2,50,2,2782,34358.24,2220.31,4884,9560,0.98,0.0,154.0,-1.0,1.0,2.0,-1.0,0.0,154.0,-1.0,1.0,2.0,-1.0,0,82373.0,71031.0,1420.62,1445.140350877193,1437.0,1437.0,44,5,1,0
farthest_package_first_MPA,1,3,2,50,2,2243,43300.62,2512.34,4040,11061,0.91,0.0,213.66666666666663,87.33333333333333,1.0,2.0,2.0,0.0,213.66666666666663,87.33333333333333,1.0,2.0,2.0,0,81431.0,56772.0,1135.44,1163.3,1206.0,1131.0,39,5,3,3
