x_coordinate,y_coordinate,no_packages
1176, 387, 1
163, 53, 1
570, 131, 1
1677, 703, 2
337, 1265, 1
641, 300, 1
513, 1947, 1
477, 792, 1
1123, 886, 1
1103, 444, 1
1328, 814, 1
638, 1331, 1
531, 1343, 1
1615, 415, 1
1109, 1306, 1
1782, 122, 1
1717, 1360, 1
1051, 865, 1
758, 1103, 2
768, 1256, 1
1905, 1336, 1
847, 255, 1
677, 266, 1
1217, 1912, 3
1681, 502, 1
567, 704, 1
27, 1627, 1
97, 1679, 2
1070, 414, 1
1700, 961, 1
1843, 1940, 1
873, 846, 2
77, 1722, 1
1338, 1745, 1
989, 972, 2
642, 190, 1
514, 1726, 1
354, 1611, 3
369, 1125, 1
135, 123, 1
1178, 953, 1
1814, 68, 1
312, 1440, 2
1207, 16, 2
474, 1594, 2
196, 1680, 2
1595, 969, 1
1803, 586, 1
1432, 40, 1
1388, 468, 1
1977, 700, 1
1964, 162, 1
1437, 1712, 1
628, 1278, 1
26, 1413, 1
1598, 1774, 4
293, 899, 1
1870, 1161, 1
958, 1880, 1
1184, 1356, 1
1730, 527, 1
1892, 1892, 1
925, 178, 2
1688, 860, 1
539, 1935, 1
892, 1380, 1
694, 747, 1
632, 1665, 1
115, 445, 1
361, 1126, 1
179, 1898, 1
700, 930, 1
1198, 1916, 1
1927, 1985, 1
1973, 1967, 3
1390, 1858, 1
1207, 68, 1
1389, 1505, 1
1347, 1947, 1
337, 1660, 1
1738, 302, 1
432, 1795, 1
481, 1677, 4
827, 498, 1
799, 376, 1
1746, 758, 1
1838, 1834, 1
406, 1900, 1
1849, 1114, 2
1266, 1032, 1
1107, 597, 1
419, 1378, 1
763, 1087, 2
1672, 1374, 3
1601, 56, 1
1408, 735, 1
320, 783, 1
436, 728, 2
1192, 27, 1
1962, 1648, 1
