x_coordinate,y_coordinate,no_packages
975, 856, 1
1402, 402, 1
187, 1036, 1
1462, 1133, 1
306, 1912, 1
1510, 131, 1
1177, 1503, 1
1282, 1820, 1
1692, 685, 2
850, 1606, 1
1351, 1931, 1
253, 145, 1
1245, 1009, 1
655, 637, 1
1112, 904, 1
828, 987, 1
716, 43, 1
1944, 1138, 1
437, 1839, 1
71, 185, 1
1096, 1200, 1
837, 1346, 1
1199, 1417, 1
497, 1988, 1
1264, 460, 1
89, 333, 1
1875, 1657, 1
1450, 1223, 2
343, 793, 1
1799, 1059, 1
378, 1445, 2
1569, 490, 1
119, 1245, 1
502, 182, 1
856, 581, 1
547, 320, 1
637, 253, 1
738, 89, 1
280, 351, 1
1486, 357, 1
826, 1782, 1
1572, 88, 1
1398, 1331, 1
1024, 1340, 1
556, 1934, 1
414, 972, 1
398, 1165, 1
1458, 393, 1
535, 84, 1
579, 1848, 1
1982, 758, 1
533, 770, 1
3, 1207, 1
302, 1285, 1
1500, 471, 1
597, 1566, 1
1158, 89, 1
1744, 568, 1
1574, 869, 2
246, 947, 1
1969, 1401, 1
176, 916, 3
1940, 1238, 1
1348, 1038, 1
416, 399, 1
1887, 1976, 1
1982, 1687, 1
868, 1347, 1
1144, 819, 1
751, 1051, 1
649, 913, 2
1390, 173, 1
102, 1597, 1
1608, 1421, 1
509, 822, 1
1756, 221, 1
289, 599, 1
1267, 177, 1
1970, 34, 4
668, 1323, 1
1964, 1069, 1
1136, 838, 1
107, 919, 4
1700, 118, 1
96, 1638, 1
204, 1168, 1
1509, 307, 1
195, 636, 1
55, 792, 1
1150, 1229, 1
852, 761, 1
1396, 1347, 1
1692, 645, 1
778, 646, 1
347, 613, 1
1437, 1054, 1
1525, 589, 1
1225, 57, 1
1923, 399, 1
155, 826, 1
1153, 218, 1
1622, 1851, 1
689, 1825, 1
1399, 743, 1
204, 1009, 1
970, 780, 1
1506, 211, 1
643, 70, 1
723, 471, 1
485, 55, 1
1770, 1040, 1
708, 1910, 1
807, 946, 1
1264, 1351, 1
308, 1919, 1
378, 1677, 1
857, 1296, 1
718, 1533, 1
642, 1400, 2
1253, 966, 1
1677, 316, 1
1828, 483, 1
939, 256, 1
32, 332, 1
1922, 1698, 1
1419, 1548, 1
751, 289, 1
1050, 428, 1
1503, 545, 1
1787, 586, 1
1375, 248, 2
68, 223, 1
1367, 785, 1
418, 1711, 1
1038, 897, 1
1278, 858, 1
1948, 1399, 1
1665, 889, 1
59, 1059, 1
1677, 759, 1
87, 1583, 1
1931, 143, 3
1822, 1237, 1
731, 1528, 1
441, 553, 1
1067, 664, 1
331, 1857, 1
519, 1111, 1
13, 39, 1
1740, 459, 1
401, 1766, 1
477, 1377, 1
304, 483, 1
750, 291, 1
1883, 207, 1
975, 355, 1
681, 1322, 1
1829, 1199, 1
518, 736, 1
662, 1654, 1
612, 1176, 1
72, 198, 1
1293, 681, 1
550, 1696, 4
674, 1217, 1
123, 1271, 1
1706, 1577, 1
1937, 1099, 1
682, 1106, 1
25, 38, 2
885, 691, 1
881, 1364, 1
611, 512, 1
645, 1921, 2
711, 1985, 1
1462, 932, 1
1645, 1801, 1
995, 1047, 1
117, 1897, 1
1919, 1530, 1
1758, 1565, 2
348, 1938, 1
1843, 1037, 1
1920, 1176, 2
1643, 411, 1
1309, 1519, 2
160, 1165, 1
1231, 107, 1
65, 473, 1
1551, 1879, 1
870, 222, 2
430, 507, 1
590, 1781, 2
1441, 1318, 1
882, 1456, 1
194, 221, 1
1942, 374, 1
717, 340, 1
775, 1900, 1
222, 374, 1
