strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,0,1,50,2367,2287,51737.79,2666.5,3906,11248,0.96,1210.63,1192.32,6120,2.0,-10,-10,1.0,-10,-10,0
farthest_package_first_MPA,1,1,50,2861,2792,72293.4,2555.4,5185,15080,0.97,1563.85,1652.78,7920,120.5,185.33,-10,1.0,1.0,-10,0
farthest_package_first_MPA,2,1,50,3033,2953,68714.35,2669.4,4833,14012,0.97,1466.63,1476.32,7200,74.88,185.0,-10,1.0,1.0,-10,0
farthest_package_first_MPA,3,1,50,2517,2414,62617.33,2277.62,4395,12812,0.97,1330.93,1322.34,6600,65.67,10.0,-10,1.0,1.0,-10,0
farthest_package_first_MPA,4,1,50,2329,2256,51410.8,2663.82,3888,11324,0.97,1227.98,1217.48,6240,199.0,-10,-10,1.0,-10,-10,0
farthest_package_first_MPA,5,1,50,3345,3260,61939.03,2640.25,4516,13090,0.97,1548.64,1565.32,6960,47.0,-10,269.0,1.0,-10,1.0,0
farthest_package_first_MPA,6,1,50,2708,2611,72981.18,2172.82,4987,14564,0.97,1476.75,1490.9,7320,142.0,237.0,252.0,1.0,1.0,1.0,0
farthest_package_first_MPA,7,1,50,2971,2859,70297.26,2737.84,5022,14646,0.97,1537.03,1531.58,7680,8.5,92.5,235.0,1.0,1.0,1.0,0
farthest_package_first_MPA,8,1,50,2746,2620,61323.96,3099.96,4365,12798,0.98,1379.68,1327.26,6720,98.5,92.5,-10,1.0,1.0,-10,0
farthest_package_first_MPA,9,1,50,2614,2525,62338.44,2959.0,4488,13372,0.99,1393.48,1398.56,7200,11.33,225.0,215.0,1.0,1.0,1.0,0
farthest_package_first_MPA,0,1,100,7029,6943,141024.71,2646.48,10927,29108,0.89,3261.95,3207.92,15120,70.06,254.0,281.0,1.0,1.0,1.0,55
farthest_package_first_MPA,1,1,100,5783,5689,140789.43,2508.64,11045,29532,0.89,3037.72,3075.31,15600,145.43,115.86,245.0,1.0,1.0,1.0,57
farthest_package_first_MPA,2,1,100,6554,6454,143914.16,2630.99,10992,28908,0.88,3049.3,3027.19,14640,50.0,109.5,278.25,1.0,1.0,1.0,52
