strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,0,1,50,3326,3242,51844.89,2661.76,5223,11248,0.72,1603.88,1575.46,6120,218.0,-10,-10,1.0,-10,-10,45
farthest_package_first_MPA,1,1,50,4011,3941,72293.4,2555.4,7159,15080,0.7,2143.74,2271.96,7920,178.5,230.0,-10,1.0,1.0,-10,61
farthest_package_first_MPA,2,1,50,4293,4213,68714.35,2669.4,6647,14012,0.7,1982.62,1998.48,7200,122.62,250.0,-10,1.0,1.0,-10,54
farthest_package_first_MPA,3,1,50,3375,3271,62617.33,2277.62,5995,12812,0.71,1769.78,1759.38,6600,93.0,15.0,-10,1.0,1.0,-10,49
farthest_package_first_MPA,4,1,50,3172,3099,51410.8,2663.82,5226,11324,0.72,1626.9,1609.9,6240,284.5,-10,-10,1.0,-10,-10,46
farthest_package_first_MPA,5,1,50,4666,4581,61939.03,2640.25,6181,13090,0.71,2122.9,2146.52,6960,68.2,-10,415.0,1.0,-10,1.0,52
farthest_package_first_MPA,6,1,50,4470,4374,73272.57,2200.69,7061,14580,0.69,2131.87,2120.82,7320,8.0,19.0,404.5,1.0,1.0,1.0,57
farthest_package_first_MPA,7,1,50,4152,4040,70297.26,2737.84,7030,14646,0.69,2149.31,2150.88,7680,5.5,125.0,355.0,1.0,1.0,1.0,60
farthest_package_first_MPA,8,1,50,3732,3606,61323.96,3099.96,5949,12798,0.72,1824.73,1749.7,6720,130.0,139.0,-10,1.0,1.0,-10,50
farthest_package_first_MPA,9,1,50,3516,3428,62338.44,2959.0,6048,13372,0.74,1828.8,1839.82,7200,33.67,327.5,303.0,1.0,1.0,1.0,52
farthest_package_first_MPA,0,1,100,8672,8586,141024.71,2646.48,14211,29108,0.68,4485.63,4448.67,15120,92.33,254.0,376.0,1.0,1.0,1.0,122
farthest_package_first_MPA,1,1,100,7417,7323,140789.43,2508.64,14314,29532,0.69,4221.55,4262.17,15600,190.86,151.29,371.33,1.0,1.0,1.0,126
farthest_package_first_MPA,2,1,100,8225,8125,143914.16,2630.99,14254,28908,0.68,4217.72,4201.39,14640,92.33,104.0,403.5,1.0,1.0,1.0,118
farthest_package_first_MPA,3,1,100,6900,6829,132200.46,2031.3,13538,27978,0.69,3999.35,4096.55,14880,142.91,152.5,314.67,1.0,1.0,1.0,120
farthest_package_first_MPA,4,1,100,7245,7168,129481.84,2404.78,12946,26740,0.69,3883.23,3884.46,13920,110.11,191.0,347.0,1.0,1.0,1.0,111
farthest_package_first_MPA,5,1,100,6812,6695,134214.98,2728.7,13237,27216,0.69,3904.47,3951.51,13920,130.12,103.75,-10,1.0,1.0,-10,110
farthest_package_first_MPA,6,1,100,7826,7727,141264.61,2495.48,14037,28762,0.68,4223.67,4019.57,14760,115.18,187.67,267.0,1.0,1.0,1.0,117
farthest_package_first_MPA,7,1,100,8107,8026,138580.06,2271.2,13813,28256,0.68,4107.37,4169.79,14520,128.88,178.0,296.0,1.0,1.0,1.0,117
farthest_package_first_MPA,8,1,100,7541,7440,138119.64,2586.48,13572,27492,0.68,4072.97,4075.78,13800,2.0,296.0,498.0,1.0,1.0,1.0,111
farthest_package_first_MPA,9,1,100,8587,8465,153502.18,2681.72,15054,30456,0.67,4423.66,4410.73,15240,134.69,191.5,356.0,1.0,1.0,1.0,123
farthest_package_first_MPA,0,1,200,11668,11525,182682.07,6429.7,21899,48248,0.73,6054.63,6117.07,30240,75.39,159.82,260.75,1.0,1.0,1.0,240
farthest_package_first_MPA,1,1,200,13406,13262,190347.13,6088.1,22578,49516,0.73,6308.65,6235.12,30720,73.43,164.67,260.67,1.0,1.0,1.0,243
farthest_package_first_MPA,2,1,200,11190,11045,178594.68,6165.35,21072,46184,0.73,5732.36,5838.49,28560,90.0,220.71,271.5,1.0,1.0,1.0,223
farthest_package_first_MPA,3,1,200,11540,11393,170483.09,8224.83,20301,44792,0.74,5683.88,5466.24,27960,61.64,195.4,226.75,1.0,1.0,1.0,219
farthest_package_first_MPA,4,1,200,12780,12650,196094.31,8180.84,23133,50438,0.73,6282.38,6187.06,31080,97.21,216.62,284.5,1.0,1.0,1.0,246
farthest_package_first_MPA,5,1,200,11247,11101,172630.35,6227.86,20184,44282,0.73,5506.19,5566.56,27240,82.79,332.0,266.67,1.0,1.0,1.0,213
farthest_package_first_MPA,6,1,200,11599,11470,174526.28,6283.41,20536,45174,0.73,5596.33,5743.32,27960,118.84,66.75,269.0,1.0,1.0,1.0,219
farthest_package_first_MPA,7,1,200,11493,11348,177938.81,7091.98,21249,46828,0.73,5851.82,5763.2,29280,55.12,203.38,242.75,1.0,1.0,1.0,231
farthest_package_first_MPA,8,1,200,12056,11954,178365.37,6359.47,20863,46170,0.74,5919.57,5917.98,28560,64.0,197.14,318.0,1.0,1.0,1.0,221
farthest_package_first_MPA,9,1,200,12225,12099,185223.38,8120.02,21851,47910,0.73,6002.84,6108.3,29640,108.26,88.12,223.25,1.0,1.0,1.0,234
farthest_package_first_MPA,0,1,500,24384,24284,294655.03,13469.04,44347,104440,0.79,11622.62,11668.48,75600,75.84,156.95,221.64,1.0,1.0,1.0,596
farthest_package_first_MPA,1,1,500,23750,23674,287188.76,13444.86,43107,101186,0.78,11448.43,11706.18,73080,58.95,181.18,208.0,1.0,1.0,1.0,578
farthest_package_first_MPA,2,1,500,25605,25490,294759.43,17049.17,44163,103932,0.78,11900.0,11730.59,75120,57.63,152.74,219.58,1.0,1.0,1.0,591
farthest_package_first_MPA,3,1,500,21671,21566,275550.62,14070.88,41338,97188,0.78,10970.48,11191.97,70200,53.78,165.67,213.67,1.0,1.0,1.0,553
farthest_package_first_MPA,4,1,500,22971,22866,288658.1,12336.88,43920,103152,0.78,11507.92,11632.22,74880,67.62,158.83,222.58,1.0,1.0,1.0,593
farthest_package_first_MPA,5,1,500,22251,22142,280434.11,14456.95,42225,99086,0.78,11147.97,11370.48,71640,84.67,151.45,215.75,1.0,1.0,1.0,564
farthest_package_first_MPA,6,1,500,23064,23040,279364.82,14499.79,42814,101224,0.79,11451.16,11341.18,73920,87.26,133.67,186.67,1.0,1.0,1.0,585
farthest_package_first_MPA,7,1,500,23582,23532,296418.58,16267.51,44572,104228,0.78,11828.94,11797.95,75240,62.98,144.17,223.86,1.0,1.0,1.0,596
farthest_package_first_MPA,8,1,500,23172,23143,295689.37,14007.03,44366,103688,0.78,11675.51,11701.61,74760,67.33,94.11,218.31,1.0,1.0,1.0,589
farthest_package_first_MPA,9,1,500,24838,24661,286911.48,14348.73,43586,101852,0.78,11525.87,11404.27,73800,62.64,124.62,198.71,1.0,1.0,1.0,585
farthest_package_first_MPA,0,2,50,2767,2689,39347.75,2661.76,4249,9887,0.78,1285.71,1257.84,6000,0.0,-10,-10,0.5,-10,-10,29
farthest_package_first_MPA,1,2,50,2951,2881,48268.12,2555.4,4908,11135,0.76,1448.47,1508.38,6360,0.0,19.67,-10,0.5,0.67,-10,37
farthest_package_first_MPA,2,2,50,3084,3004,45376.84,2669.4,4666,10609,0.76,1342.58,1327.9,6120,0.0,74.0,-10,0.5,0.67,-10,32
farthest_package_first_MPA,3,2,50,2747,2648,47239.49,2277.62,4726,10800,0.76,1327.93,1313.26,6120,0.0,46.0,-10,0.5,0.67,-10,36
farthest_package_first_MPA,4,2,50,2498,2425,37694.93,2663.82,4181,9722,0.78,1256.23,1240.82,6000,0.0,-10,-10,0.5,-10,-10,32
farthest_package_first_MPA,5,2,50,3495,3407,43246.17,2640.25,4571,10398,0.76,1560.62,1547.0,6120,0.0,-10,6.0,0.5,-10,0.5,32
farthest_package_first_MPA,6,2,50,3205,3109,50380.21,2200.69,5198,11347,0.73,1505.39,1463.24,6360,0.0,68.0,39.5,0.5,0.67,0.5,37
farthest_package_first_MPA,7,2,50,2978,2866,47188.48,2737.84,5016,11150,0.74,1511.56,1490.74,6480,0.0,63.5,81.5,0.5,0.67,0.5,35
farthest_package_first_MPA,8,2,50,3135,3009,47351.68,3099.96,4822,10928,0.76,1484.71,1413.14,6240,0.0,68.5,-10,0.5,0.67,-10,35
farthest_package_first_MPA,9,2,50,2882,2797,47233.51,2959.0,4924,11151,0.75,1411.93,1428.08,6480,0.0,58.0,648.0,0.5,0.67,0.75,38
farthest_package_first_MPA,0,2,100,6477,6391,104024.26,2646.48,10792,22792,0.7,3336.53,3307.29,12480,0.0,806.0,252.5,0.5,0.67,0.62,88
farthest_package_first_MPA,1,2,100,5895,5805,101855.23,2508.64,10889,23273,0.71,3146.02,3157.23,13200,0.0,121.14,152.33,0.5,0.67,0.5,87
farthest_package_first_MPA,2,2,100,5700,5600,102124.91,2630.99,10789,22957,0.71,3009.11,3008.51,12840,0.0,159.5,248.25,0.5,0.67,0.56,82
farthest_package_first_MPA,3,2,100,5152,5081,89185.41,2031.3,9875,21546,0.73,2832.77,2874.28,12720,0.0,81.5,280.0,0.5,0.67,0.58,76
farthest_package_first_MPA,4,2,100,5728,5651,96123.63,2404.78,10184,21867,0.72,2973.7,2957.87,12360,0.0,183.0,64.0,0.5,0.67,0.5,80
farthest_package_first_MPA,5,2,100,5352,5266,98605.93,2728.7,10357,22238,0.72,2928.96,2964.84,12480,0.0,228.5,-10,0.5,0.67,-10,81
farthest_package_first_MPA,6,2,100,6062,5974,106203.28,2495.48,10963,23121,0.7,3340.05,3163.92,12600,0.0,72.33,134.0,0.5,0.67,0.5,83
farthest_package_first_MPA,7,2,100,6270,6189,103066.78,2271.2,10814,22927,0.71,3126.12,3157.17,12720,0.0,317.8,191.0,0.5,0.67,0.5,85
farthest_package_first_MPA,8,2,100,6166,6065,105955.68,2586.48,10869,22855,0.7,3187.85,3194.34,12360,0.0,617.0,18.0,0.5,0.67,0.5,84
farthest_package_first_MPA,9,2,100,6323,6211,108177.79,2681.72,11147,23554,0.7,3178.56,3153.44,12840,0.0,141.0,796.5,0.5,0.67,0.62,85
farthest_package_first_MPA,0,2,200,9129,8983,130533.78,6429.7,16781,38650,0.77,4606.71,4635.52,25800,0.0,145.55,76.25,0.5,0.67,0.5,162
