strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first_MPA,0,1,50,2390,2299,51737.79,2666.5,3933,11248,0.95,1215.31,1196.66,6120,76.0,-10,-10,2,-10,-10
farthest_package_first_MPA,1,1,50,2915,2825,72293.4,2555.4,5232,15080,0.96,1459.0,1258.22,7920,35.95,55.33,-10,20,9,-10
farthest_package_first_MPA,2,1,50,3023,2943,68714.35,2669.4,4834,14012,0.97,1425.05,1284.14,7200,50.69,50.0,-10,16,3,-10
farthest_package_first_MPA,3,1,50,2578,2465,62617.33,2277.62,4525,12812,0.94,1294.73,1208.58,6600,57.33,71.0,-10,6,3,-10
farthest_package_first_MPA,4,1,50,2273,2200,51410.8,2663.82,3837,11324,0.98,1217.29,1182.46,6240,36.25,-10,-10,4,-10,-10
farthest_package_first_MPA,5,1,50,3411,3295,61939.03,2640.25,4614,13090,0.95,1512.59,1366.38,6960,36.0,-10,68.0,10,-10,4
farthest_package_first_MPA,6,1,50,2711,2596,72981.18,2172.82,5051,14564,0.96,1434.18,1272.5,7320,42.67,43.67,64.12,6,3,8
farthest_package_first_MPA,7,1,50,2953,2832,70297.26,2737.84,5044,14646,0.97,1458.06,1244.26,7680,13.25,55.67,64.88,8,6,8
farthest_package_first_MPA,8,1,50,2792,2653,61323.96,3099.96,4421,12798,0.96,1379.02,1279.96,6720,52.75,48.83,-10,4,6,-10
farthest_package_first_MPA,9,1,50,2678,2569,62338.44,2959.0,4565,13372,0.98,1368.07,1231.6,7200,36.33,25.0,56.0,6,6,4
farthest_package_first_MPA,0,1,100,6145,6059,141024.71,2646.48,9958,29108,0.97,2907.89,2466.48,15120,40.97,61.67,67.38,36,3,8
farthest_package_first_MPA,1,1,100,5309,5209,140789.43,2508.64,10166,29532,0.97,2800.55,2360.29,15600,60.07,51.19,62.0,14,21,12
farthest_package_first_MPA,2,1,100,5738,5628,143914.16,2630.99,9902,28908,0.97,2795.03,2422.13,14640,50.0,64.33,68.44,12,6,16
farthest_package_first_MPA,3,1,100,5028,4926,132200.46,2031.3,9606,27978,0.97,2618.96,2261.17,14880,48.68,58.33,54.67,22,6,12
farthest_package_first_MPA,4,1,100,5125,5048,129481.84,2404.78,9174,26740,0.97,2609.96,2369.13,13920,25.28,93.33,57.5,18,6,4
farthest_package_first_MPA,5,1,100,5339,5201,135090.67,2856.36,9369,27302,0.97,2625.76,2361.29,13920,32.38,56.0,-10,16,12,-10
farthest_package_first_MPA,6,1,100,5469,5381,141264.61,2495.48,9803,28762,0.98,2830.95,2462.12,14760,38.59,45.56,47.62,22,9,8
farthest_package_first_MPA,7,1,100,5690,5598,138580.06,2271.2,9684,28256,0.97,2715.05,2383.29,14520,41.06,63.73,52.5,16,15,4
farthest_package_first_MPA,8,1,100,5298,5197,138119.64,2586.48,9425,27492,0.97,2660.25,2414.28,13800,44.81,80.33,79.0,16,6,4
farthest_package_first_MPA,9,1,100,5969,5837,153502.18,2681.72,10449,30456,0.97,2904.09,2468.98,15240,32.23,54.92,59.75,26,12,8
farthest_package_first_MPA,0,1,200,9249,9092,182586.91,8368.53,16431,48244,0.98,4513.4,4213.3,30240,28.89,46.45,51.12,36,33,16
farthest_package_first_MPA,1,1,200,9077,8941,190347.13,8104.14,16985,49516,0.97,4573.44,4268.65,30720,28.48,42.69,47.92,46,36,12
farthest_package_first_MPA,2,1,200,8545,8400,178594.68,6165.35,15883,46184,0.97,4298.32,3964.18,28560,34.14,33.52,54.75,36,21,8
farthest_package_first_MPA,3,1,200,8057,7907,170622.36,6214.74,15318,44798,0.97,4181.65,4033.57,27960,21.45,49.27,43.75,22,15,16
farthest_package_first_MPA,4,1,200,9606,9472,196094.31,8180.84,17263,50438,0.97,4716.49,4408.74,31080,33.61,38.58,52.38,38,24,32
farthest_package_first_MPA,5,1,200,8698,8547,172630.35,8120.39,15214,44282,0.97,4170.02,3948.69,27240,35.0,60.0,55.0,28,6,12
farthest_package_first_MPA,6,1,200,8217,8086,174526.28,5948.92,15406,45174,0.98,4141.59,4008.22,27960,36.34,43.08,49.38,38,12,8
farthest_package_first_MPA,7,1,200,8935,8800,179422.64,5656.32,16068,46970,0.97,4384.98,4175.1,29280,32.56,45.17,46.5,32,24,16
farthest_package_first_MPA,8,1,200,9143,8987,178365.37,7880.54,15744,46170,0.98,4291.49,4111.03,28560,32.86,40.05,56.88,36,21,8
farthest_package_first_MPA,9,1,200,9324,9180,185223.38,8120.02,16386,47910,0.97,4513.88,4234.84,29640,32.0,54.33,50.56,38,24,16
farthest_package_first_MPA,0,1,500,19440,19268,293624.08,16564.7,35613,104296,0.98,9453.77,9240.47,75600,29.95,37.73,41.95,110,63,44
farthest_package_first_MPA,1,1,500,18349,18244,282527.17,15439.21,34235,100766,0.98,9146.59,8760.38,73080,27.05,45.39,39.78,120,33,36
farthest_package_first_MPA,2,1,500,19325,19158,295711.13,19602.81,35574,104062,0.98,9672.58,9291.22,75120,27.49,25.19,43.6,104,57,48
farthest_package_first_MPA,3,1,500,18302,18127,275217.52,14056.26,33094,97122,0.98,8810.24,8516.64,70200,28.8,34.89,43.04,74,45,24
farthest_package_first_MPA,4,1,500,19166,19072,288154.92,17945.79,35145,103082,0.98,9383.04,9135.54,74880,25.02,40.04,42.75,84,69,48
farthest_package_first_MPA,5,1,500,18239,18063,280434.11,15654.77,33798,99086,0.98,9016.27,8797.97,71640,32.41,39.87,43.03,66,60,32
farthest_package_first_MPA,6,1,500,19011,18903,279465.86,15162.82,34459,101210,0.98,9276.35,9157.33,73920,26.59,43.22,38.39,94,63,36
farthest_package_first_MPA,7,1,500,19034,18842,299165.06,17981.04,35721,104530,0.98,9549.13,9155.62,75240,30.01,37.32,44.82,92,90,28
farthest_package_first_MPA,8,1,500,19213,19037,296996.25,16965.46,35329,103852,0.98,9437.21,9242.59,74760,29.5,40.85,42.94,96,54,52
farthest_package_first_MPA,9,1,500,20978,20814,286284.17,14977.09,34801,101838,0.98,9391.61,9182.51,73800,32.65,43.51,41.75,84,78,28
