strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
farthest_package_first,0,1,50,4750,4655,66252.5,2233.95,7244,13292,0.61,1962.98,2198.54
farthest_package_first,1,1,50,4047,3916,55925.49,3133.03,6041,11784,0.65,1700.85,1768.88
farthest_package_first,2,1,50,4076,3982,65663.17,2658.79,7152,13230,0.62,1843.09,2064.26
farthest_package_first,3,1,50,4436,4305,61247.71,3200.72,6908,12906,0.62,1827.12,2082.92
farthest_package_first,4,1,50,4078,4003,64734.47,2041.44,7169,13494,0.63,1788.31,2110.2
farthest_package_first,5,1,50,5505,5421,59710.91,2969.85,6871,13108,0.64,2032.85,2439.42
farthest_package_first,6,1,50,3973,3843,53330.76,3503.56,5848,11646,0.66,1673.32,1773.72
farthest_package_first,7,1,50,3924,3813,59409.24,2743.48,6545,12486,0.64,1692.36,1861.6
farthest_package_first,8,1,50,4089,3987,61207.12,2663.03,6669,12542,0.63,1722.98,1860.82
farthest_package_first,9,1,50,3858,3771,63324.31,2542.88,6886,12880,0.62,1789.15,1968.06
farthest_package_first,0,1,100,10416,10335,129044.15,2819.58,16110,26834,0.56,4230.5,4949.68
farthest_package_first,1,1,100,9396,9316,128806.1,2454.88,15842,25852,0.54,4291.81,4678.07
farthest_package_first,2,1,100,8956,8877,123540.97,2296.9,15471,25692,0.55,3926.24,4397.39
farthest_package_first,3,1,100,9617,9530,131449.62,2233.15,16254,26484,0.54,4623.65,5178.49
farthest_package_first,4,1,100,8015,7911,120311.36,2528.52,15246,25604,0.56,3756.69,4282.63
farthest_package_first,5,1,100,8918,8848,120950.98,2266.43,15153,25538,0.56,4052.65,4579.5
farthest_package_first,6,1,100,8702,8602,123031.25,2549.5,15274,25504,0.56,3947.95,4382.22
farthest_package_first,7,1,100,10477,10406,136409.72,2594.73,17138,28034,0.55,4212.9,5097.61
farthest_package_first,8,1,100,9304,9220,126907.09,2372.76,15935,26244,0.55,4151.37,4732.56
farthest_package_first,9,1,100,8991,8898,136666.06,2448.34,16846,26880,0.53,4202.81,4665.12
farthest_package_first,0,1,200,12271,12146,160884.14,5999.93,23632,42974,0.61,5431.86,6138.0
farthest_package_first,1,1,200,12744,12604,163551.29,6046.0,23973,42998,0.6,5573.07,6241.84
farthest_package_first,2,1,200,15161,15023,185397.02,7930.82,26403,46648,0.59,5938.65,7007.61
farthest_package_first,3,1,200,12443,12304,165905.68,6249.16,23890,42652,0.6,5845.72,6401.06
farthest_package_first,4,1,200,12437,12301,160651.56,7774.38,23239,42706,0.61,5607.11,6279.96
farthest_package_first,5,1,200,12618,12486,163493.74,8122.67,23254,41946,0.6,5765.08,6197.46
farthest_package_first,6,1,200,14154,14022,176138.37,7538.59,25172,44872,0.59,5886.86,6740.45
farthest_package_first,7,1,200,13141,13007,167396.41,8007.92,24303,43980,0.6,5750.41,6584.22
farthest_package_first,8,1,200,13772,13635,173948.71,6273.36,25071,44540,0.59,5825.84,6641.45
farthest_package_first,9,1,200,14792,14656,164007.92,6305.84,23633,42332,0.6,5951.63,6487.27
farthest_package_first,0,1,500,25242,25132,263765.25,19117.63,46871,94708,0.67,10704.15,12288.36
farthest_package_first,1,1,500,24999,24893,257235.88,13407.91,46441,92826,0.67,10811.61,12195.5
farthest_package_first,2,1,500,23750,23649,256795.46,15309.31,44995,89850,0.67,10752.21,11590.88
farthest_package_first,3,1,500,24810,24704,256433.98,17744.26,45221,90974,0.67,10853.45,11917.08
farthest_package_first,4,1,500,26076,25935,264639.14,16885.28,47068,94320,0.67,10873.47,12395.75
farthest_package_first,5,1,500,25402,25224,252715.82,12725.28,45856,91772,0.67,10296.39,11511.37
farthest_package_first,6,1,500,24445,24416,257320.43,15682.59,45967,92620,0.67,10818.39,12159.87
farthest_package_first,7,1,500,26252,26076,269912.6,18315.05,47716,95904,0.67,10755.7,12455.1
