strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
farthest_package_first,0,1,50,2826,2731,66252.5,2233.95,4521,13292,0.98,1301.36,1457.52
farthest_package_first,1,1,50,2664,2533,55925.49,3133.03,4062,11784,0.97,1250.52,1300.54
farthest_package_first,2,1,50,2547,2453,65663.17,2658.79,4495,13230,0.98,1257.14,1408.0
farthest_package_first,3,1,50,2970,2839,61247.71,3200.72,4500,12906,0.96,1284.96,1464.86
farthest_package_first,4,1,50,2600,2525,64734.47,2041.44,4580,13494,0.98,1223.41,1443.62
farthest_package_first,5,1,50,3155,3071,59710.91,2969.85,4521,13108,0.97,1301.83,1562.2
farthest_package_first,6,1,50,2654,2524,53330.76,3503.56,4077,11646,0.95,1243.42,1318.02
farthest_package_first,7,1,50,2515,2404,59409.24,2743.48,4301,12486,0.97,1211.67,1332.84
farthest_package_first,8,1,50,2547,2445,61207.12,2663.03,4339,12542,0.96,1213.26,1310.32
farthest_package_first,9,1,50,2380,2293,63324.31,2542.88,4413,12880,0.97,1241.0,1365.1
farthest_package_first,0,1,100,5626,5547,129044.15,2819.58,8991,26834,0.99,2373.84,2777.39
farthest_package_first,1,1,100,5142,5062,128806.1,2454.88,8745,25852,0.99,2406.14,2622.69
farthest_package_first,2,1,100,4992,4916,123540.97,2296.9,8702,25692,0.98,2261.75,2533.16
farthest_package_first,3,1,100,5206,5119,131449.62,2233.15,8960,26484,0.99,2544.77,2850.14
farthest_package_first,4,1,100,4724,4620,120311.36,2528.52,8717,25604,0.98,2193.14,2500.18
farthest_package_first,5,1,100,4972,4903,120950.98,2266.43,8604,25538,0.99,2312.95,2613.63
farthest_package_first,6,1,100,4859,4762,123031.25,2549.5,8555,25504,0.99,2262.66,2511.55
farthest_package_first,7,1,100,5713,5642,136409.72,2594.73,9469,28034,0.99,2335.94,2826.49
farthest_package_first,8,1,100,5181,5097,126907.09,2372.76,8931,26244,0.98,2363.78,2694.71
farthest_package_first,9,1,100,4856,4763,136666.06,2448.34,9148,26880,0.98,2356.57,2615.79
farthest_package_first,0,1,200,7760,7635,160884.14,5999.93,14629,42974,0.98,3506.46,3962.3
farthest_package_first,1,1,200,7981,7841,163551.29,6046.0,14741,42998,0.97,3594.5,4025.84
farthest_package_first,2,1,200,9061,8923,185397.02,7930.82,15826,46648,0.98,3744.74,4418.8
farthest_package_first,3,1,200,7708,7569,165905.68,6249.16,14424,42652,0.99,3711.22,4063.79
farthest_package_first,4,1,200,8038,7900,160651.56,7774.38,14375,42706,0.99,3662.67,4102.19
farthest_package_first,5,1,200,7821,7689,163493.74,8122.67,14245,41946,0.98,3735.08,4015.22
farthest_package_first,6,1,200,8486,8354,176138.37,7538.59,15141,44872,0.99,3719.45,4258.77
farthest_package_first,7,1,200,8206,8072,167396.41,8007.92,15099,43980,0.97,3722.62,4262.4
