strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4
farthest_package_first_MPA,0,1,50,5215,5117,51737.79,2666.5,7923,12536,0.53,2152.61,2099.38,6120,152.0,304.0,304.0
farthest_package_first_MPA,1,1,50,6348,6251,68323.0,2555.4,11510,16036,0.46,2718.83,2205.0,7560,102.55,227.89,2051.0
farthest_package_first_MPA,2,1,50,7840,7756,68066.3,2669.4,11360,15524,0.46,2909.45,2509.64,7080,126.25,673.33,2020.0
farthest_package_first_MPA,3,1,50,5957,5834,61710.95,2277.62,10371,14142,0.45,2474.44,2220.98,6480,139.5,279.0,837.0
farthest_package_first_MPA,4,1,50,4987,4908,51410.8,2663.82,7805,12612,0.54,2137.58,2031.32,6240,39.5,158.0,158.0
farthest_package_first_MPA,5,1,50,7992,7860,60464.13,2640.25,9802,14342,0.49,3127.41,2728.56,6840,104.9,1049.0,262.25
farthest_package_first_MPA,6,1,50,6376,6232,69131.55,2172.82,12046,15544,0.43,2883.52,2457.34,6960,65.0,130.0,48.75
farthest_package_first_MPA,7,1,50,6505,6376,65080.1,2737.84,10811,15278,0.47,2764.81,2199.28,7200,103.88,138.5,103.88
farthest_package_first_MPA,8,1,50,6212,6061,59843.93,3099.96,9606,13912,0.48,2637.16,2383.42,6480,100.5,67.0,402.0
farthest_package_first_MPA,9,1,50,5682,5564,59237.12,2959.0,9790,14196,0.48,2478.23,2165.28,6840,104.5,104.5,156.75
farthest_package_first_MPA,0,1,100,16434,16347,137923.87,2646.48,27135,31878,0.39,7607.8,6274.95,14760,126.81,1521.67,570.62
farthest_package_first_MPA,1,1,100,13273,13167,129896.04,2508.64,25638,30526,0.4,6996.3,5787.9,14400,70.0,46.67,81.67
farthest_package_first_MPA,2,1,100,14880,14765,136651.36,2630.99,26849,30886,0.38,7307.88,6233.5,13920,102.83,205.67,77.12
farthest_package_first_MPA,3,1,100,13195,13089,127245.2,2031.3,25042,30060,0.4,6473.97,5469.64,14280,124.77,457.5,228.75
farthest_package_first_MPA,4,1,100,14075,13997,125780.71,2404.78,24644,29180,0.39,6772.61,6095.22,13560,80.72,242.17,363.25
farthest_package_first_MPA,5,1,100,14241,14092,129859.33,2856.36,25340,29548,0.39,6763.31,5993.34,13440,146.56,195.42,2345.0
farthest_package_first_MPA,6,1,100,14898,14807,135499.67,2495.48,26545,30976,0.39,7585.78,6505.13,14160,80.86,197.67,222.38
farthest_package_first_MPA,7,1,100,15263,15164,130624.31,2271.2,25607,30022,0.39,6985.93,6041.28,13800,196.12,209.2,784.5
farthest_package_first_MPA,8,1,100,14667,14563,134479.52,2586.48,26217,30144,0.38,7098.39,6353.97,13440,106.88,285.0,427.5
farthest_package_first_MPA,9,1,100,15934,15791,145265.8,2681.72,28847,32556,0.38,7642.41,6365.51,14520,125.42,271.75,407.62
farthest_package_first_MPA,0,1,200,20105,19946,171392.43,8368.53,37921,49650,0.44,9622.83,8896.49,28440,79.42,86.64,178.69
farthest_package_first_MPA,1,1,200,20300,20162,178558.07,8104.14,39370,51000,0.43,9741.14,8978.61,28920,84.2,107.58,322.75
farthest_package_first_MPA,2,1,200,19816,19667,171609.5,6165.35,37691,48704,0.43,9510.63,8668.52,27480,84.83,145.43,381.75
farthest_package_first_MPA,3,1,200,19110,18952,165049.69,6214.74,36156,47300,0.44,9351.13,9010.48,26880,43.0,63.07,59.12
farthest_package_first_MPA,4,1,200,22632,22494,184168.9,8180.84,40366,51928,0.43,10435.92,9682.88,29160,87.45,138.46,103.84
farthest_package_first_MPA,5,1,200,20220,20062,167630.76,8120.39,36632,47378,0.43,9238.58,8682.89,26640,69.86,326.0,163.0
farthest_package_first_MPA,6,1,200,19606,19471,169740.86,5948.92,37372,48244,0.43,9210.7,8884.58,27240,103.47,327.67,491.5
farthest_package_first_MPA,7,1,200,20760,20622,171422.71,5656.32,37764,49040,0.43,9846.89,9337.1,27840,106.59,142.12,213.19
farthest_package_first_MPA,8,1,200,21584,21420,170682.08,7880.54,37466,48590,0.43,9248.25,8808.15,27480,105.75,181.29,475.88
farthest_package_first_MPA,9,1,200,21579,21416,177440.04,8120.02,38841,50130,0.43,9898.34,9194.12,28200,113.34,179.46,269.19
farthest_package_first_MPA,0,2,50,3325,3234,35051.94,2666.5,4780,10341,0.72,1297.8,1264.42,6000,0.0,0.0,0.0
farthest_package_first_MPA,1,2,50,4365,4243,44928.74,2555.4,7285,11927,0.55,1554.52,1442.0,6360,0.0,0.0,0.0
farthest_package_first_MPA,2,2,50,4995,4899,44370.56,2669.4,6638,11619,0.58,1716.8,1702.42,6120,0.0,0.0,0.0
farthest_package_first_MPA,3,2,50,3448,3320,39720.93,2277.62,5635,11044,0.65,1392.15,1314.32,6120,0.0,0.0,0.0
farthest_package_first_MPA,4,2,50,2754,2678,32099.96,2663.82,4165,9971,0.8,1195.98,1175.06,6000,0.0,0.0,0.0
farthest_package_first_MPA,5,2,50,5515,5353,40917.66,2640.25,6510,11191,0.57,1976.22,1787.96,6120,0.0,0.0,0.0
farthest_package_first_MPA,6,2,50,4502,4358,47875.18,2172.82,7711,12298,0.53,1720.9,1523.66,6360,0.0,0.0,0.0
