strategy,scenario_id,drone_capacity,no_customers,no_steps,drone_travel_distance,utilization
farthest_package_first,0,1,50,2605,59670.05553952978,0.382213691618682
farthest_package_first,1,1,50,2721,59463.87562301151,0.36432684062232024
farthest_package_first,2,1,50,2298,64210.53960012714,0.4653321729039745
farthest_package_first,3,1,50,2438,71287.54047598706,0.48742138364779874
farthest_package_first,4,1,50,2448,67863.67683375586,0.4614651416122004
farthest_package_first,5,1,50,2895,67456.26385362339,0.38837075417386296
farthest_package_first,6,1,50,2255,62140.43265530435,0.45964523281596453
farthest_package_first,7,1,50,2622,62153.770948021694,0.3946097126875159
farthest_package_first,8,1,50,2165,54045.58135760235,0.41585835257890685
farthest_package_first,9,1,50,2428,57147.225786450246,0.39195496979681493
farthest_package_first,10,1,100,4345,120388.57543467676,0.4619102416570771
farthest_package_first,11,1,100,4681,126111.38358346648,0.4493341878515987
farthest_package_first,12,1,100,4717,134005.44872498413,0.47293477492756697
farthest_package_first,13,1,100,4555,120464.90350901274,0.44083424807903404
farthest_package_first,14,1,100,4613,122579.23744905321,0.44280656116771444
farthest_package_first,15,1,100,4991,135706.19794826448,0.4535831162759634
farthest_package_first,16,1,100,5100,122709.30424534678,0.400718954248366
farthest_package_first,17,1,100,4749,131714.45090875519,0.4623078542851127
farthest_package_first,18,1,100,4843,123131.06340908358,0.4239796269529906
farthest_package_first,19,1,100,4830,129128.30858040208,0.44547964113181504
farthest_package_first,20,1,200,8281,172985.5787746683,0.34812623274161736
farthest_package_first,21,1,200,8673,170386.1092716515,0.3274337983781083
farthest_package_first,22,1,200,7660,161090.77579458713,0.35060922541340295
farthest_package_first,23,1,200,7631,173242.75343297017,0.37830341152317304
farthest_package_first,24,1,200,8337,174277.424370179,0.34822678021670467
farthest_package_first,25,1,200,7787,173294.03313518013,0.3710029536406832
farthest_package_first,26,1,200,7509,161939.0218979809,0.35936875749101077
farthest_package_first,27,1,200,7625,168657.47178240833,0.36878688524590164
farthest_package_first,28,1,200,7484,170834.4993977207,0.3800552289328345
farthest_package_first,29,1,200,7597,168616.9898867912,0.370233864244658
farthest_package_first,30,1,500,15376,249809.2860541627,0.27082249392993407
farthest_package_first,31,1,500,15724,258593.00248744394,0.2740502840668193
farthest_package_first,32,1,500,16777,270869.47547191894,0.26922771254296557
farthest_package_first,33,1,500,16692,264298.33183982095,0.2637790558351306
farthest_package_first,34,1,500,17045,260785.86916839198,0.255109025129559
farthest_package_first,35,1,500,16366,254266.97505152028,0.2590940567843904
farthest_package_first,36,1,500,16288,261236.3388218339,0.26734405697445973
farthest_package_first,37,1,500,16286,251515.23924318427,0.25715338327397763
farthest_package_first,38,1,500,16327,257010.16496795224,0.2623568322410731
farthest_package_first,39,1,500,16334,262965.35229647823,0.2682849679604914
farthest_package_first,0,2,50,2226,36036.78768793203,0.2709643605870021
farthest_package_first,1,2,50,2177,35486.46075596269,0.2726994334711377
farthest_package_first,2,2,50,1856,36703.419387366055,0.33054956896551724
farthest_package_first,3,2,50,1946,42151.823910935884,0.3617677286742035
farthest_package_first,4,2,50,1931,39989.419655148165,0.34593474883480063
farthest_package_first,5,2,50,2209,38579.18904100972,0.2920627735023389
farthest_package_first,6,2,50,1703,36427.06451985135,0.357799960853396
farthest_package_first,7,2,50,1938,36474.568368794135,0.31449948400412797
farthest_package_first,8,2,50,1788,32013.000456128633,0.29968307233407904
farthest_package_first,9,2,50,1948,34209.03016253493,0.29354893908282
farthest_package_first,10,2,100,3597,68814.22307191952,0.3201742192567881
farthest_package_first,11,2,100,3548,70995.25847745792,0.3349774520856821
farthest_package_first,12,2,100,3564,74590.55630747454,0.3497007108118219
farthest_package_first,13,2,100,3536,68381.59423164558,0.3236236802413273
farthest_package_first,14,2,100,3528,68550.73342546102,0.3250188964474679
farthest_package_first,15,2,100,3743,75130.4348944828,0.33596045952444564
farthest_package_first,16,2,100,3809,67917.2897253102,0.2979347160234532
farthest_package_first,17,2,100,3693,73995.25337843173,0.3351385504106869
farthest_package_first,18,2,100,3742,69082.53675116277,0.3089257081774452
