strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first_MPA,0,1,50,4989,4909,51737.79,2666.5,6528,11248,0.57,1430.94,1378.4,6120,115.0,-10,-10,1.0,-10,-10
farthest_package_first_MPA,1,1,50,10686,10616,72293.4,2555.4,17167,15080,0.29,3404.91,3843.88,7920,304.4,289.0,-10,1.0,1.0,-10
farthest_package_first_MPA,2,1,50,14058,13978,68714.35,2669.4,15858,14012,0.29,3509.63,3648.18,7200,92.75,185.0,-10,1.0,1.0,-10
farthest_package_first_MPA,3,1,50,7588,7484,62617.33,2277.62,9976,12812,0.43,1974.27,1963.9,6600,547.0,272.0,-10,1.0,1.0,-10
farthest_package_first_MPA,4,1,50,4500,4427,51410.8,2663.82,6059,11324,0.62,1445.71,1404.52,6240,299.5,-10,-10,1.0,-10,-10
farthest_package_first_MPA,5,1,50,15737,15652,61939.03,2640.25,16908,13090,0.26,4499.31,4735.08,6960,441.6,-10,269.0,1.0,-10,1.0
farthest_package_first_MPA,6,1,50,9257,9160,72981.18,2172.82,17712,14564,0.27,3082.8,3210.16,7320,682.0,237.0,1176.5,1.0,1.0,1.0
farthest_package_first_MPA,7,1,50,11818,11706,70297.26,2737.84,15903,14646,0.31,3055.5,2912.08,7680,54.75,736.0,449.0,1.0,1.0,1.0
farthest_package_first_MPA,8,1,50,9342,9216,61323.96,3099.96,10961,12798,0.39,2307.3,2294.88,6720,1000.0,92.5,-10,1.0,1.0,-10
farthest_package_first_MPA,9,1,50,7410,7321,62338.44,2959.0,9873,13372,0.45,2131.3,2244.14,7200,28.67,225.0,215.0,1.0,1.0,1.0
farthest_package_first_MPA,0,1,100,43489,43403,141024.71,2646.48,67609,29108,0.14,18777.23,18328.22,15120,445.28,1519.0,790.5,1.0,1.0,1.0
farthest_package_first_MPA,1,1,100,35319,35225,140789.43,2508.64,67696,29532,0.15,16530.58,16847.43,15600,723.14,661.14,2332.67,1.0,1.0,1.0
farthest_package_first_MPA,2,1,100,42299,42199,143914.16,2630.99,69896,28908,0.14,17401.12,17291.27,14640,555.17,500.0,1973.25,1.0,1.0,1.0
farthest_package_first_MPA,3,1,100,32110,32039,132200.46,2031.3,61597,27978,0.15,14835.4,15506.23,14880,406.82,1060.0,2136.33,1.0,1.0,1.0
farthest_package_first_MPA,4,1,100,34594,34513,129481.84,2404.78,59455,26740,0.15,14615.98,14688.54,13920,480.78,140.0,2385.0,1.0,1.0,1.0
farthest_package_first_MPA,5,1,100,38233,38115,135090.67,2856.36,63618,27302,0.14,14998.22,15574.15,13920,1318.0,1828.5,-10,1.0,1.0,-10
farthest_package_first_MPA,6,1,100,39082,38983,141264.61,2495.48,67773,28762,0.14,16942.42,15602.33,14760,635.64,114.67,1574.5,1.0,1.0,1.0
farthest_package_first_MPA,7,1,100,40193,40112,138580.06,2271.2,66074,28256,0.14,16315.53,16570.84,14520,901.38,396.8,1966.0,1.0,1.0,1.0
farthest_package_first_MPA,8,1,100,37220,37119,138119.64,2586.48,64990,27492,0.14,16104.03,15971.25,13800,27.0,1971.0,313.0,1.0,1.0,1.0
farthest_package_first_MPA,9,1,100,45763,45641,153502.18,2681.72,76316,30456,0.13,18690.74,18512.29,15240,945.08,1437.25,2545.0,1.0,1.0,1.0
farthest_package_first_MPA,0,1,200,54550,54403,182586.91,6432.7,103596,48244,0.16,24021.65,24249.53,30240,220.22,497.73,1242.0,1.0,1.0,1.0
farthest_package_first_MPA,1,1,200,57013,56890,190347.13,6335.12,109901,49516,0.15,23898.84,23736.24,30720,342.43,769.0,1586.0,1.0,1.0,1.0
farthest_package_first_MPA,2,1,200,56670,56525,178594.68,8136.58,100334,46184,0.15,22633.11,22355.53,28560,449.67,977.14,574.5,1.0,1.0,1.0
farthest_package_first_MPA,3,1,200,60261,60114,170622.36,6280.9,95510,44798,0.16,22358.94,20847.31,27960,232.27,1146.4,1241.0,1.0,1.0,1.0
farthest_package_first_MPA,4,1,200,75498,75368,196094.31,6452.52,114016,50438,0.15,27053.48,26857.12,31080,531.58,923.25,990.62,1.0,1.0,1.0
farthest_package_first_MPA,5,1,200,54532,54403,172630.35,6314.12,96009,44282,0.15,21375.98,21519.1,27240,422.86,1379.5,1369.0,1.0,1.0,1.0
farthest_package_first_MPA,6,1,200,58563,58424,174526.28,7806.99,97458,45174,0.15,22181.01,21935.87,27960,501.16,91.5,1680.5,1.0,1.0,1.0
farthest_package_first_MPA,7,1,200,51198,51068,179422.64,5810.8,101331,46970,0.15,22205.71,21936.12,29280,366.5,679.62,891.0,1.0,1.0,1.0
farthest_package_first_MPA,8,1,200,61305,61171,178365.37,6031.22,100295,46170,0.15,23051.48,23406.78,28560,365.11,950.43,2193.5,1.0,1.0,1.0
farthest_package_first_MPA,9,1,200,65056,64937,185223.38,6306.67,105383,47910,0.15,23710.95,23816.75,29640,391.21,472.88,893.5,1.0,1.0,1.0
farthest_package_first_MPA,0,1,500,112123,111963,293624.08,13954.83,201280,104296,0.17,45877.38,46765.11,75600,166.47,351.62,918.18,1.0,1.0,1.0
farthest_package_first_MPA,1,1,500,113085,112987,282527.17,14038.29,192104,100766,0.17,44733.58,43056.41,73080,250.93,727.82,904.11,1.0,1.0,1.0
farthest_package_first_MPA,2,1,500,116504,116340,295711.13,15682.28,202461,104062,0.17,46561.02,46069.37,75120,370.52,468.68,1084.58,1.0,1.0,1.0
farthest_package_first_MPA,3,1,500,95172,95089,275217.52,16075.43,186223,97122,0.17,41749.4,41315.0,70200,203.14,563.6,1041.17,1.0,1.0,1.0
farthest_package_first_MPA,4,1,500,101430,101252,288154.92,14443.05,197390,103082,0.17,44720.57,45300.67,74880,348.05,596.3,1013.67,1.0,1.0,1.0
farthest_package_first_MPA,5,1,500,101218,101111,280434.11,16431.82,189393,99086,0.17,43825.13,44307.73,71640,302.0,623.85,689.12,1.0,1.0,1.0
farthest_package_first_MPA,6,1,500,99704,99596,279465.86,16185.93,190503,101210,0.18,44058.47,44098.14,73920,252.36,630.62,737.44,1.0,1.0,1.0
farthest_package_first_MPA,7,1,500,111616,111445,299165.06,14908.34,205125,104530,0.17,46935.6,46561.63,75240,331.61,702.33,1300.29,1.0,1.0,1.0
farthest_package_first_MPA,8,1,500,106392,106289,296996.25,16151.91,202262,103852,0.17,46985.06,47456.97,74760,266.56,644.17,1056.85,1.0,1.0,1.0
farthest_package_first_MPA,9,1,500,104293,104132,286284.17,15418.85,194094,101838,0.17,43021.35,43044.44,73800,334.67,619.27,943.71,1.0,1.0,1.0
farthest_package_first_MPA,0,2,50,1987,1894,32409.9,2666.5,3259,9207,0.94,992.86,978.3,6000,0.0,-10,-10,0.5,-10,-10
farthest_package_first_MPA,1,2,50,2028,1958,40856.54,2555.4,3597,10399,0.96,1087.29,1113.64,6360,0.0,71.0,-10,0.5,0.67,-10
farthest_package_first_MPA,2,2,50,2191,2086,38972.73,2669.4,3474,9977,0.96,1067.25,1049.38,6120,0.0,33.0,-10,0.5,0.67,-10
farthest_package_first_MPA,3,2,50,2020,1914,36370.24,2277.62,3458,9721,0.94,1014.85,998.5,6120,0.0,29.0,-10,0.5,0.67,-10
farthest_package_first_MPA,4,2,50,1833,1747,31442.01,2663.82,3130,9106,0.97,979.46,971.18,6000,0.0,-10,-10,0.5,-10,-10
farthest_package_first_MPA,5,2,50,3204,3119,37293.51,2640.25,4108,9928,0.81,1202.4,1190.72,6240,0.0,-10,259.0,0.5,-10,0.75
farthest_package_first_MPA,6,2,50,2017,1931,41871.91,2172.82,3652,10506,0.96,1077.82,1072.64,6360,0.0,31.0,66.0,0.5,0.67,0.5
farthest_package_first_MPA,7,2,50,2157,2039,39712.67,2737.84,3576,10408,0.97,1122.08,1105.82,6480,0.0,237.0,17.0,0.5,0.67,0.5
farthest_package_first_MPA,8,2,50,2120,1994,37357.97,3099.96,3409,9936,0.97,1095.29,1043.86,6240,0.0,69.0,-10,0.5,0.67,-10
farthest_package_first_MPA,9,2,50,2137,2048,36723.75,2959.0,3545,10107,0.95,1072.53,1060.96,6480,0.0,22.0,460.0,0.5,0.67,0.75
farthest_package_first_MPA,0,2,100,21990,21892,86646.84,2646.48,29665,21058,0.24,6890.55,6413.74,12480,0.0,1298.0,719.0,0.5,0.67,0.62
farthest_package_first_MPA,1,2,100,17456,17366,89951.57,2508.64,32581,22323,0.23,6160.17,6307.31,13440,0.0,978.71,436.0,0.5,0.67,0.67
farthest_package_first_MPA,2,2,100,21374,21274,91171.3,2630.99,33508,21864,0.22,6598.87,6383.55,12840,0.0,1519.5,531.75,0.5,0.67,0.56
farthest_package_first_MPA,3,2,100,14919,14848,82847.93,2031.3,26940,21029,0.26,4890.99,5286.06,12840,0.0,597.0,750.0,0.5,0.67,0.67
farthest_package_first_MPA,4,2,100,15885,15804,80168.29,2404.78,25678,20282,0.26,4764.0,4862.86,12360,0.0,64.0,682.0,0.5,0.67,0.5
farthest_package_first_MPA,5,2,100,20914,20795,89090.78,2856.36,31223,21289,0.23,5677.53,5955.98,12480,0.0,291.0,-10,0.5,0.67,-10
farthest_package_first_MPA,6,2,100,18146,18058,86646.86,2495.48,30328,21292,0.23,5936.41,5273.89,12720,0.0,614.33,3653.5,0.5,0.67,0.62
farthest_package_first_MPA,7,2,100,21114,21028,88184.53,2271.2,30663,21442,0.23,6074.64,6017.91,12720,0.0,428.6,287.0,0.5,0.67,0.5
farthest_package_first_MPA,8,2,100,19910,19799,89645.24,2586.48,31751,21229,0.22,6143.86,5940.74,12360,0.0,3442.5,18.0,0.5,0.67,0.5
farthest_package_first_MPA,9,2,100,23261,23139,95984.93,2681.72,36090,22340,0.21,6858.57,6805.34,12840,0.0,20.25,5340.0,0.5,0.67,0.62
farthest_package_first_MPA,0,2,200,33195,33048,123772.84,6432.7,63138,38100,0.2,12191.11,12451.07,25920,0.0,508.27,259.25,0.5,0.67,0.56
farthest_package_first_MPA,1,2,200,34449,34323,129325.15,6335.12,66985,38554,0.19,12430.61,12331.94,25800,0.0,706.0,327.33,0.5,0.67,0.5
farthest_package_first_MPA,2,2,200,36010,35866,123370.04,8136.58,62213,37234,0.2,11688.49,11451.09,25080,0.0,471.14,218.5,0.5,0.67,0.5
farthest_package_first_MPA,3,2,200,37700,37555,119874.51,6280.9,60461,37133,0.2,12026.08,11058.67,25320,0.0,276.8,1810.0,0.5,0.67,0.62
farthest_package_first_MPA,4,2,200,49034,48901,136982.84,6452.52,71855,39785,0.18,15079.86,14712.17,26280,0.0,876.88,824.12,0.5,0.67,0.59
farthest_package_first_MPA,5,2,200,32520,32391,118613.4,6314.12,59213,36289,0.2,11251.59,11182.37,24600,0.0,1304.5,321.33,0.5,0.67,0.5
farthest_package_first_MPA,6,2,200,37322,37183,120432.93,7806.99,60226,36694,0.2,11678.15,11419.51,24840,0.0,102.0,2874.0,0.5,0.67,0.62
farthest_package_first_MPA,7,2,200,34011,33878,129365.18,5810.8,66915,38302,0.19,12668.81,12380.78,25560,0.0,426.0,410.25,0.5,0.67,0.56
farthest_package_first_MPA,8,2,200,37936,37802,117435.03,6031.22,58556,36647,0.21,11179.37,11366.33,25080,0.0,588.86,1317.0,0.5,0.67,0.5
farthest_package_first_MPA,9,2,200,42489,42360,125040.87,6306.67,64199,37877,0.2,12109.5,12169.42,25560,0.0,748.0,855.25,0.5,0.67,0.56
farthest_package_first_MPA,0,2,500,79760,79596,212412.86,13954.83,141932,84814,0.2,29678.63,30261.59,64080,0.0,509.14,375.82,0.5,0.67,0.55
farthest_package_first_MPA,1,2,500,80328,80230,203063.06,14038.29,134308,82503,0.2,28918.53,27637.13,62640,0.0,258.18,289.33,0.5,0.67,0.56
farthest_package_first_MPA,2,2,500,84416,84250,214703.31,15682.28,143611,85066,0.2,30531.01,30201.39,64080,0.0,772.16,1940.42,0.5,0.67,0.56
farthest_package_first_MPA,3,2,500,68101,68016,201456.14,16075.43,133230,82180,0.21,27169.12,26895.4,62520,0.0,539.8,344.33,0.5,0.67,0.5
farthest_package_first_MPA,4,2,500,70211,70033,206847.83,14443.05,137472,84532,0.2,28802.45,29174.46,64320,0.0,668.83,214.83,0.5,0.67,0.52
farthest_package_first_MPA,5,2,500,73510,73407,209816.95,16431.82,139065,84227,0.2,29108.87,29434.23,63720,0.0,601.75,557.75,0.5,0.67,0.59
farthest_package_first_MPA,6,2,500,70316,70208,202020.77,16185.93,134099,83651,0.21,28364.56,28334.38,63960,0.0,419.33,618.11,0.5,0.67,0.58
farthest_package_first_MPA,7,2,500,75370,75199,214171.99,14908.34,142755,85482,0.2,30037.84,29758.64,64560,0.0,590.57,455.0,0.5,0.67,0.54
farthest_package_first_MPA,8,2,500,74867,74764,212106.66,16151.91,140033,84575,0.2,29967.05,30274.17,63840,0.0,197.06,355.46,0.5,0.67,0.52
farthest_package_first_MPA,9,2,500,78007,77846,214362.98,15418.85,142365,85171,0.2,29297.01,29252.28,64200,0.0,636.19,288.71,0.5,0.67,0.57
farthest_package_first_MPA,0,3,50,1874,1783,26730.83,2666.5,3214,8762,0.91,933.94,923.62,6120,334.0,-10,-10,1.0,-10,-10
farthest_package_first_MPA,1,3,50,1930,1853,31816.89,2555.4,3356,9503,0.94,957.11,982.46,6360,29.6,0.0,-10,0.65,0.33,-10
farthest_package_first_MPA,2,3,50,2126,2015,30821.59,2669.4,3306,9166,0.92,967.83,950.86,6120,22.5,0.0,-10,0.56,0.33,-10
farthest_package_first_MPA,3,3,50,1758,1652,29551.28,2277.62,3177,9160,0.96,959.13,958.14,6240,191.67,0.0,-10,0.83,0.33,-10
farthest_package_first_MPA,4,3,50,1729,1603,25732.29,2663.82,3082,8538,0.92,925.1,913.5,6000,0.0,-10,-10,0.5,-10,-10
farthest_package_first_MPA,5,3,50,2408,2302,29966.42,2640.25,3384,9318,0.92,1070.16,1069.02,6360,106.6,-10,8.0,0.7,-10,0.5
farthest_package_first_MPA,6,3,50,1999,1903,33892.45,2172.82,3520,9712,0.92,995.44,983.38,6360,47.67,0.0,310.0,0.67,0.33,0.5
farthest_package_first_MPA,7,3,50,1915,1794,30770.18,2737.84,3255,9395,0.96,1012.89,983.74,6360,13.5,0.0,38.0,0.62,0.33,0.5
farthest_package_first_MPA,8,3,50,2080,1946,27496.78,3099.96,3294,8717,0.88,986.32,942.48,6000,0.0,0.0,-10,0.5,0.33,-10
farthest_package_first_MPA,9,3,50,1967,1882,28164.89,2959.0,3404,8902,0.87,977.53,965.08,6120,0.0,0.0,707.0,0.5,0.33,0.5
farthest_package_first_MPA,0,3,100,12610,12513,63003.37,2646.48,15526,19303,0.41,3415.09,3112.1,13080,304.89,0.0,791.0,0.69,0.33,0.5
farthest_package_first_MPA,1,3,100,8158,8074,64008.2,2508.64,15636,18913,0.4,2612.36,2603.19,12600,33.57,0.0,512.33,0.64,0.33,0.5
farthest_package_first_MPA,2,3,100,9701,9601,62783.32,2630.99,15283,19043,0.42,2797.83,2631.79,12840,400.5,0.0,68.25,0.75,0.33,0.5
farthest_package_first_MPA,3,3,100,6500,6429,58305.34,2031.3,12167,18591,0.51,2143.37,2209.67,12840,190.09,0.0,239.33,0.68,0.33,0.5
farthest_package_first_MPA,4,3,100,8803,8726,58289.63,2404.78,11411,17988,0.53,2302.31,2319.77,12240,44.67,0.0,227.0,0.56,0.33,0.5
farthest_package_first_MPA,5,3,100,11722,11604,63257.75,2856.36,15544,18606,0.4,2580.07,2681.32,12360,855.88,0.0,-10,0.69,0.33,-10
farthest_package_first_MPA,6,3,100,10335,10236,62885.41,2495.48,15224,18812,0.41,2734.5,2445.82,12600,445.55,0.0,5426.5,0.64,0.33,0.5
farthest_package_first_MPA,7,3,100,12314,12228,61700.18,2271.2,15131,18692,0.41,2891.64,2835.58,12600,140.75,0.0,2799.0,0.75,0.33,0.5
farthest_package_first_MPA,8,3,100,10242,10134,61399.93,2586.48,14258,18421,0.43,2570.0,2434.18,12360,46.12,0.0,309.0,0.62,0.33,0.5
farthest_package_first_MPA,9,3,100,11838,11711,68518.6,2681.72,19274,19492,0.34,3055.39,2983.41,12720,232.15,0.0,3627.0,0.65,0.33,0.5
farthest_package_first_MPA,0,3,200,25267,25121,101321.33,6432.7,48536,35158,0.24,8564.36,8780.31,25200,189.67,0.0,525.75,0.67,0.33,0.5
farthest_package_first_MPA,1,3,200,26731,26603,103221.82,6335.12,50312,35116,0.23,8359.02,8281.25,24960,259.87,0.0,441.33,0.61,0.33,0.5
farthest_package_first_MPA,2,3,200,28382,28237,100057.74,8136.58,47569,34439,0.24,8087.28,7870.6,24600,150.06,0.0,611.0,0.58,0.33,0.5
farthest_package_first_MPA,3,3,200,30340,30191,96644.67,6280.9,45799,34350,0.25,8788.32,7969.4,24840,42.73,0.0,2399.5,0.64,0.33,0.5
farthest_package_first_MPA,4,3,200,41112,40977,113195.57,6452.52,57294,37065,0.22,11260.59,10769.64,25920,566.37,0.0,255.25,0.71,0.33,0.5
farthest_package_first_MPA,5,3,200,30051,29916,102565.85,6314.12,49716,35052,0.24,8625.29,8600.0,24960,246.71,0.0,588.33,0.68,0.33,0.5
farthest_package_first_MPA,6,3,200,30367,30221,98779.41,7806.99,47080,34303,0.24,8434.3,8199.83,24600,88.89,0.0,34.5,0.58,0.33,0.5
farthest_package_first_MPA,7,3,200,27609,27479,105857.77,5810.8,51964,35495,0.23,9227.81,8908.52,25080,100.5,0.0,860.5,0.66,0.33,0.5
farthest_package_first_MPA,8,3,200,30622,30486,95444.23,6031.22,44476,33996,0.25,8001.95,8138.31,24600,75.94,0.0,741.5,0.58,0.33,0.5
farthest_package_first_MPA,9,3,200,34758,34639,102872.89,6306.67,50313,35205,0.23,9093.49,9086.77,25080,72.47,0.0,115.75,0.63,0.33,0.5
farthest_package_first_MPA,0,3,500,71660,71496,187806.53,13954.83,125499,80605,0.21,24977.5,25452.75,62280,105.09,0.0,621.82,0.57,0.33,0.5
farthest_package_first_MPA,1,3,500,69909,69811,175749.76,14038.29,117556,79554,0.23,23883.4,22788.87,62400,236.38,0.0,365.56,0.59,0.33,0.5
farthest_package_first_MPA,2,3,500,72236,72070,188208.95,15682.28,125606,80417,0.21,25219.44,24902.56,62040,82.9,0.0,841.83,0.55,0.33,0.5
farthest_package_first_MPA,3,3,500,61322,61237,179097.38,16075.43,119461,79024,0.22,23168.01,22963.89,61560,206.11,0.0,338.5,0.59,0.33,0.5
farthest_package_first_MPA,4,3,500,61244,61066,177664.41,14443.05,118097,79369,0.22,22806.34,23089.57,62040,226.4,0.0,637.25,0.56,0.33,0.5
farthest_package_first_MPA,5,3,500,67615,67506,190594.17,16431.82,126826,80297,0.21,25456.13,25700.44,61680,138.12,0.0,506.25,0.59,0.33,0.5
farthest_package_first_MPA,6,3,500,62779,62672,181037.41,16185.93,120614,79911,0.22,24627.09,24535.84,62280,153.26,0.0,277.22,0.61,0.33,0.5
farthest_package_first_MPA,7,3,500,69326,69153,186993.37,14908.34,124748,80285,0.21,25102.66,24847.69,62040,581.67,0.0,657.14,0.61,0.33,0.5
farthest_package_first_MPA,8,3,500,70563,70451,190409.68,16151.91,126098,80996,0.21,24950.52,25327.94,62400,166.52,0.0,278.23,0.57,0.33,0.5
farthest_package_first_MPA,9,3,500,68438,68278,186544.19,15418.85,123745,79422,0.21,23690.77,23631.79,61200,35.62,0.0,1035.43,0.54,0.33,0.5
farthest_package_first_MPA,0,4,50,1843,1752,22652.56,2666.5,2994,8237,0.92,896.86,879.74,6000,0.0,-10,-10,0.5,-10,-10
farthest_package_first_MPA,1,4,50,1941,1824,26690.14,2555.4,3370,9111,0.9,942.02,970.48,6480,136.1,0.0,-10,0.7,0.33,-10
farthest_package_first_MPA,2,4,50,2043,1943,26631.9,2669.4,3183,8987,0.94,954.2,925.68,6360,65.5,145.0,-10,0.62,0.67,-10
farthest_package_first_MPA,3,4,50,1879,1765,26228.07,2277.62,3160,8829,0.93,930.64,915.52,6240,228.67,0.0,-10,0.83,0.33,-10
farthest_package_first_MPA,4,4,50,1835,1735,22511.67,2663.82,3071,8217,0.89,884.35,869.74,6000,0.0,-10,-10,0.5,-10,-10
farthest_package_first_MPA,5,4,50,2505,2395,26203.1,2640.25,3651,9185,0.84,1058.57,1052.24,6600,277.2,-10,3.0,0.9,-10,0.5
farthest_package_first_MPA,6,4,50,1956,1866,28637.26,2172.82,3498,9307,0.89,946.59,952.54,6480,212.0,375.0,205.0,0.83,0.67,0.38
farthest_package_first_MPA,7,4,50,2120,1989,27852.95,2737.84,3348,9227,0.92,972.27,974.22,6480,504.25,0.0,0.0,0.88,0.33,0.38
farthest_package_first_MPA,8,4,50,2086,1948,25638.89,3099.96,3296,8651,0.87,963.73,932.3,6120,392.5,0.0,-10,0.75,0.33,-10
farthest_package_first_MPA,9,4,50,1929,1840,24563.3,2959.0,3161,8660,0.91,916.73,911.12,6240,76.0,0.0,211.0,0.67,0.33,0.5
farthest_package_first_MPA,0,4,100,11354,11256,57438.23,2646.48,13886,19108,0.46,3093.58,2772.35,13440,351.67,0.0,418.5,0.78,0.33,0.5
farthest_package_first_MPA,1,4,100,5008,4914,54163.35,2508.64,9678,18181,0.63,1916.48,1852.89,12840,248.43,140.43,81.0,0.71,0.38,0.5
farthest_package_first_MPA,2,4,100,6101,6001,51375.6,2630.99,8951,17666,0.66,1906.95,1803.84,12600,59.0,0.0,249.75,0.58,0.33,0.5
farthest_package_first_MPA,3,4,100,3200,3115,46807.39,2031.3,6117,17450,0.95,1662.27,1638.95,12840,205.55,0.0,186.33,0.68,0.33,0.5
