x_coordinate,y_coordinate,no_packages
1708, 1266, 2
273, 1780, 1
850, 1223, 1
1349, 1598, 1
1574, 775, 1
506, 394, 1
1806, 1973, 1
1470, 764, 1
978, 1105, 2
1465, 1272, 1
505, 1755, 1
1465, 228, 1
36, 700, 1
370, 1683, 1
1860, 580, 1
1551, 80, 1
1256, 468, 1
1268, 1161, 1
1185, 903, 1
463, 151, 1
1274, 522, 1
1644, 765, 1
1410, 309, 1
836, 59, 1
1344, 1219, 1
1094, 1236, 1
1425, 444, 1
464, 1981, 1
226, 1407, 1
535, 889, 1
818, 1910, 2
1427, 229, 1
470, 1457, 1
1809, 1927, 1
280, 1594, 1
1315, 1895, 1
909, 1155, 1
1096, 680, 1
520, 737, 1
1909, 531, 1
783, 1612, 1
1589, 1569, 1
1822, 1149, 1
1747, 1999, 1
1545, 1123, 1
889, 152, 1
142, 1277, 1
1042, 719, 1
1002, 898, 1
59, 284, 2
