x_coordinate,y_coordinate,no_packages
396, 957, 1
1905, 355, 1
730, 1610, 1
649, 32, 1
573, 1771, 1
1272, 771, 1
358, 1225, 3
1488, 719, 1
966, 554, 1
1553, 467, 1
1411, 1553, 1
1968, 143, 1
1415, 637, 1
1461, 673, 1
717, 1959, 1
571, 1440, 1
780, 751, 1
1694, 1606, 2
1091, 1190, 1
959, 166, 1
1412, 759, 1
1465, 1906, 1
1236, 1091, 1
527, 580, 1
1054, 1664, 1
873, 1887, 1
1398, 1311, 1
1432, 208, 1
1355, 448, 1
1916, 736, 1
1782, 1659, 1
1715, 762, 1
565, 443, 1
466, 437, 1
1318, 156, 1
1233, 1848, 1
1207, 1064, 1
724, 1708, 1
1541, 1209, 1
1907, 641, 1
422, 1037, 1
1096, 149, 1
865, 1693, 1
1040, 1655, 1
1891, 1284, 1
1309, 1030, 1
1998, 990, 1
635, 16, 1
366, 1413, 1
833, 919, 1
1221, 161, 1
501, 1026, 2
1447, 1472, 2
429, 1731, 1
729, 1714, 1
1656, 1841, 1
1785, 939, 3
1168, 1123, 1
288, 1814, 1
157, 1346, 1
1307, 791, 1
1749, 1440, 1
100, 152, 1
234, 664, 1
592, 1727, 1
947, 513, 1
1060, 276, 1
535, 864, 1
1729, 1321, 1
228, 1081, 3
1513, 1704, 1
61, 1625, 2
479, 1041, 1
1062, 184, 1
422, 247, 1
1414, 1649, 1
1159, 449, 1
1843, 1038, 1
380, 1016, 1
1234, 1772, 1
1551, 1693, 1
16, 121, 2
935, 365, 1
1545, 747, 1
1369, 1992, 1
1960, 555, 1
1229, 1291, 1
719, 1169, 1
1965, 478, 1
1284, 1373, 2
1514, 258, 1
1225, 1752, 1
1352, 594, 1
1757, 1322, 1
957, 1149, 2
745, 159, 1
1183, 516, 1
765, 1413, 2
1179, 780, 1
1942, 1592, 1
