x_coordinate,y_coordinate,no_packages
442, 550, 1
339, 783, 2
1605, 667, 1
1089, 78, 1
236, 1109, 1
676, 811, 2
1095, 1117, 1
1126, 1491, 1
450, 1343, 1
1074, 1267, 1
190, 1511, 1
64, 29, 1
1702, 1811, 1
110, 589, 1
43, 1014, 1
1457, 1409, 2
13, 267, 1
285, 1951, 1
487, 933, 2
1399, 1240, 2
977, 1480, 1
131, 834, 1
523, 1902, 1
1043, 124, 1
485, 1904, 2
1970, 71, 1
1224, 332, 1
28, 1430, 1
1122, 1362, 1
962, 678, 1
1431, 1323, 1
1813, 796, 1
1203, 207, 1
1085, 521, 1
580, 160, 1
1325, 1478, 1
884, 894, 1
711, 86, 1
1754, 834, 1
1197, 1948, 1
72, 1009, 1
220, 37, 1
1701, 1007, 1
420, 1043, 1
310, 511, 2
1325, 1497, 1
1194, 34, 1
761, 1377, 1
1648, 675, 2
39, 168, 1
52, 1168, 1
272, 85, 1
672, 638, 1
147, 1974, 1
82, 51, 1
639, 59, 1
349, 1731, 1
1585, 1166, 2
1516, 1004, 1
1128, 74, 1
1108, 908, 1
1881, 923, 1
1625, 1955, 1
1853, 429, 1
231, 1720, 1
1773, 316, 1
278, 1788, 1
803, 581, 1
1603, 1574, 1
536, 1639, 1
1742, 163, 1
989, 1817, 1
1170, 820, 1
945, 946, 1
1229, 741, 1
1856, 1020, 2
653, 1215, 1
159, 1868, 1
1899, 386, 1
1772, 349, 1
485, 1626, 1
75, 929, 1
1566, 716, 1
1105, 225, 1
298, 1785, 1
442, 1018, 1
995, 1294, 1
1467, 85, 1
1974, 151, 1
1360, 1564, 1
1779, 1192, 1
489, 891, 1
1582, 1033, 1
1024, 932, 1
1584, 1196, 3
1858, 745, 1
357, 284, 1
11, 1923, 1
1969, 502, 1
1127, 1927, 1
672, 1600, 1
50, 175, 2
972, 842, 1
148, 1347, 1
1804, 1712, 2
545, 636, 1
897, 1754, 2
10, 1382, 1
1793, 1492, 1
507, 1319, 1
533, 399, 1
1508, 1380, 1
1262, 882, 1
1183, 642, 1
1780, 1932, 1
910, 1344, 1
250, 1061, 1
1914, 1273, 1
188, 492, 1
651, 410, 1
649, 470, 1
448, 469, 1
833, 210, 1
1643, 223, 1
826, 714, 1
337, 36, 1
858, 449, 1
270, 1526, 1
1727, 1701, 1
690, 169, 1
854, 1664, 1
1163, 1510, 1
14, 930, 1
1965, 333, 1
1126, 488, 1
1522, 54, 1
410, 1189, 1
405, 1370, 1
126, 1522, 2
1230, 597, 1
929, 425, 2
74, 1566, 1
1576, 699, 1
861, 425, 1
1819, 630, 2
1752, 1150, 1
1006, 420, 1
1587, 1041, 1
607, 953, 1
643, 1134, 1
617, 1557, 2
984, 1004, 1
240, 1094, 1
1463, 337, 1
1098, 98, 1
120, 538, 2
1745, 1843, 1
120, 1519, 1
1225, 105, 1
282, 185, 1
1722, 1169, 1
1266, 780, 1
904, 1358, 1
611, 1421, 1
85, 343, 1
1039, 1998, 1
517, 220, 1
473, 182, 1
290, 1881, 1
1016, 740, 1
335, 691, 1
807, 1181, 1
1401, 22, 2
1858, 1299, 1
1369, 442, 1
760, 627, 1
1035, 638, 1
232, 1112, 1
678, 1209, 1
382, 497, 1
413, 1801, 1
1437, 1341, 1
443, 133, 1
1203, 556, 1
1461, 1392, 2
57, 1717, 1
996, 587, 1
267, 1592, 1
1016, 332, 1
355, 673, 1
167, 1590, 1
1037, 523, 2
957, 1059, 1
999, 1126, 1
829, 175, 1
565, 1488, 1
1384, 1655, 1
1388, 1552, 1
1125, 112, 1
1091, 1135, 1
698, 736, 1
836, 658, 1
372, 475, 1
399, 645, 1
309, 100, 1
1244, 932, 1
1851, 467, 1
1343, 1970, 1
981, 1569, 1
781, 1216, 1
802, 1628, 1
1743, 1042, 1
1617, 1220, 1
529, 1451, 1
1593, 1338, 1
532, 504, 1
1547, 55, 1
234, 147, 1
962, 280, 1
378, 1183, 1
1753, 46, 2
741, 967, 1
1714, 798, 1
1909, 1340, 1
813, 800, 1
1977, 864, 1
487, 1387, 1
431, 1986, 1
1310, 1882, 1
1895, 327, 1
1692, 499, 1
1455, 614, 1
404, 1249, 1
74, 1080, 1
373, 1467, 2
1119, 899, 1
778, 670, 1
1795, 842, 1
147, 1633, 2
492, 493, 1
1836, 168, 3
102, 686, 1
903, 183, 1
1617, 40, 1
1176, 1266, 1
633, 9, 1
1829, 268, 1
337, 1752, 1
447, 1109, 1
551, 213, 1
911, 153, 1
687, 611, 1
197, 655, 1
35, 1225, 1
151, 276, 1
1673, 1021, 1
1103, 347, 1
1724, 553, 1
1575, 1446, 1
1300, 426, 1
486, 1452, 2
867, 1635, 3
1221, 1012, 1
2, 1591, 1
1230, 1033, 1
1998, 1064, 1
1641, 881, 1
657, 1909, 1
1646, 1195, 1
629, 1523, 1
1323, 1910, 1
186, 727, 1
753, 1279, 1
27, 378, 1
221, 1817, 1
570, 1016, 1
739, 440, 1
1395, 41, 1
1839, 1829, 1
911, 52, 1
1485, 1999, 2
171, 651, 1
497, 1265, 1
541, 1736, 1
612, 517, 1
1689, 132, 1
254, 1263, 1
377, 1803, 1
502, 964, 2
1060, 1065, 1
1183, 959, 2
1087, 1227, 1
511, 1023, 1
707, 1117, 2
398, 1819, 3
1207, 1244, 1
845, 82, 1
1258, 1270, 1
1059, 1143, 1
1335, 1979, 1
1873, 1912, 1
1740, 1509, 1
1412, 192, 1
677, 1806, 1
282, 929, 1
834, 163, 1
823, 628, 1
1481, 632, 2
1922, 360, 1
1820, 1102, 1
554, 378, 1
565, 35, 1
1433, 1106, 1
1523, 1311, 1
680, 889, 1
445, 162, 1
227, 700, 1
1686, 66, 1
1982, 230, 1
1177, 1177, 1
467, 1201, 1
271, 1054, 1
