x_coordinate,y_coordinate,no_packages
971,543,3
1603,1990,1
1182,466,1
1195,983,1
1288,1476,1
1722,778,1
1394,496,1
1941,1434,1
38,903,1
310,845,1
840,1027,1
1885,965,2
1506,1489,1
282,1062,1
665,1356,1
771,642,3
941,1868,1
1118,725,1
1776,1476,1
1645,1419,1
991,393,3
571,1142,1
1928,1992,4
1579,591,1
1413,1443,1
982,714,1
1913,1628,1
589,249,1
1112,777,2
808,1676,1
1583,1647,1
86,589,3
161,709,2
1343,525,1
438,413,1
555,1910,1
556,281,1
1517,1201,1
103,1371,2
462,1306,1
205,846,1
967,205,1
281,10,3
1902,323,1
1914,1803,2
977,1332,1
1974,588,1
1322,121,2
183,1335,1
1095,1512,1
1918,76,2
358,855,2
360,1912,2
1712,813,1
381,1918,1
1786,1896,1
76,18,1
1234,219,2
686,582,1
1313,1112,1
1821,1922,1
1032,958,1
1656,230,1
1497,939,1
1471,381,1
690,1619,1
1381,1550,1
1251,1753,1
830,1693,1
671,177,1
195,378,4
977,662,2
13,534,1
914,1543,1
675,618,1
1173,23,1
736,1418,1
1367,242,1
327,830,1
1890,1833,2
1576,636,1
1308,1876,3
752,1258,1
1960,273,1
931,1531,4
765,851,1
1869,964,1
1642,1360,1
1560,506,1
1220,1788,1
1076,914,1
740,159,2
229,126,1
1849,1035,1
1099,306,1
1749,1065,1
1393,420,1
1001,186,2
912,1656,1
270,1051,1
