x_coordinate,y_coordinate,no_packages
1443, 1583, 2
1038, 180, 1
137, 82, 1
793, 1790, 1
908, 443, 1
1409, 1295, 2
1834, 819, 1
627, 1408, 1
52, 1442, 1
1781, 1903, 1
658, 417, 2
322, 689, 1
1872, 1205, 1
1093, 1880, 1
396, 1112, 1
1461, 867, 2
976, 836, 1
1198, 634, 1
1365, 1973, 1
674, 1897, 1
59, 916, 1
420, 1278, 1
1353, 96, 1
124, 1141, 1
1140, 679, 2
1137, 42, 1
1532, 1873, 1
1918, 1393, 1
1529, 622, 1
279, 887, 1
112, 1099, 1
84, 858, 1
18, 1379, 1
1115, 880, 1
789, 1136, 1
574, 1857, 1
813, 574, 1
1767, 113, 1
1691, 1220, 1
1416, 1438, 1
87, 1725, 1
463, 1436, 1
1670, 1086, 1
344, 1294, 1
1054, 1258, 1
849, 859, 1
1145, 1071, 1
481, 769, 1
1172, 1591, 1
18, 58, 1
918, 710, 1
54, 363, 1
680, 1592, 1
450, 1297, 1
1153, 38, 1
1676, 323, 1
650, 1406, 1
662, 833, 2
906, 1261, 1
487, 859, 1
1289, 851, 2
179, 914, 1
183, 1111, 1
811, 1579, 1
598, 589, 1
638, 1057, 2
1100, 253, 1
962, 1899, 1
116, 1022, 1
1104, 908, 1
313, 1492, 3
232, 1192, 1
524, 745, 1
1896, 281, 1
294, 1148, 2
269, 840, 1
1172, 593, 1
324, 627, 1
1339, 1604, 1
1497, 1318, 1
1385, 53, 1
1162, 609, 1
1540, 122, 1
605, 126, 1
1944, 249, 1
595, 1903, 1
614, 759, 1
457, 1546, 1
1662, 204, 1
1872, 101, 1
800, 824, 1
1209, 1520, 1
1365, 12, 1
1915, 1352, 1
1758, 1260, 1
464, 468, 1
1533, 1231, 1
121, 1539, 1
1, 1785, 3
549, 1410, 2
